Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
12     2      14     -0.01362            7.341627            7.355247            0.336636       0.189662       -0.27443       0.464092       
12     14     26     -7.1e-05            -211.292035         -211.291964         0.019353       -0.158872      -0.161269      0.002397       
24     36     60     -0.000114           -510.852326         -510.852212         0.011747       0.065967       0.059303       0.006664       
26     24     50     -0.011418           -417.566223         -417.554805         0.01562        0.216499       0.215462       0.001037       
26     34     60     -0.001137           -523.989962         -523.988825         0.021396       0.136678       0.132563       0.004115       
26     36     62     0.002638            -537.373487         -537.376125         0.017253       0.097106       0.091208       0.005898       
46     36     82     -8.7e-05            -596.794574         -596.794487         0.014418       0.113276       0.110555       0.002721       
52     72     124    -0.000929           -1050.136498        -1050.135569        0.015633       0.140865       0.138692       0.002173       
52     74     126    -0.000218           -1065.757204        -1065.756986        0.01209        0.111804       0.109623       0.002181       
56     56     112    -0.089951           -898.389171         -898.29922          0.103366       0.232054       0.228217       0.003837       
56     78     134    -0.000886           -1127.178223        -1127.177337        0.010601       0.130188       0.129003       0.001185       
56     90     146    -0.189629           -1198.273           -1198.083371        0.103393       0.201646       0.199917       0.001729       
56     118    174    -6e-06              -1275.972999        -1275.972993        0.019988       0.146462       0.143874       0.002588       
58     88     146    -0.365104           -1208.289505        -1207.924401        0.137224       0.191195       0.184592       0.006603       
58     90     148    -0.250943           -1218.516079        -1218.265136        0.126411       0.215967       0.229014       -0.013047      
60     74     134    -6.8e-05            -1111.115174        -1111.115106        0.02763        0.230951       0.228675       0.002276       
60     86     146    -0.232357           -1212.342451        -1212.110094        0.098996       0.145001       0.144542       0.000459       
60     88     148    -0.299658           -1224.728001        -1224.428343        0.113104       0.19098        0.197402       -0.006422      
60     136    196    -0.000658           -1366.571133        -1366.570475        0.042224       0.124147       0.122145       0.002002       
60     138    198    -0.060251           -1366.584412        -1366.524161        0.071964       0.14063        0.133279       0.007351       
60     140    200    -0.05748            -1366.323761        -1366.266281        0.071877       0.145547       0.14225        0.003297       
62     132    194    -0.02952            -1401.849098        -1401.819578        0.041202       0.08254        0.078547       0.003993       
62     134    196    -0.241281           -1402.975937        -1402.734656        0.098068       0.109343       0.095377       0.013966       
62     136    198    -0.353725           -1403.728668        -1403.374943        0.120269       0.125387       0.110305       0.015082       
62     138    200    -0.351997           -1404.202419        -1403.850422        0.130586       0.137662       -0.13518       0.272842       
64     132    196    -0.338469           -1435.837705        -1435.499236        0.090816       0.083613       0.074923       0.00869        
64     134    198    -0.59851            -1437.560768        -1436.962258        0.133725       0.108161       -0.08993       0.198091       
64     136    200    -0.458003           -1438.924648        -1438.466645        0.150716       0.122389       -0.125338      0.247727       
66     88     154    -0.000318           -1262.445251        -1262.444933        0.035223       0.221128       0.216808       0.00432        
66     132    198    -0.375573           -1467.685872        -1467.310299        0.101377       0.083648       0.080007       0.003641       
66     134    200    -0.531619           -1470.073856        -1469.542237        0.14502        0.109062       -0.106554      0.215616       
66     136    202    -0.155461           -1472.105617        -1471.950156        0.159179       0.131479       -0.139896      0.271375       
68     92     160    0.003205            -1304.982659        -1304.985864        0.078908       0.296339       0.286202       0.010137       
68     132    200    -0.171073           -1497.671466        -1497.500393        0.091773       0.088351       0.091946       -0.003595      
68     134    202    -0.177297           -1500.666653        -1500.489356        0.128899       0.124322       0.14035        -0.016028      
70     92     162    -0.005525           -1313.536542        -1313.531017        0.073924       0.269272       0.257223       0.012049       
70     136    206    -0.001349           -1533.821141        -1533.819792        0.035779       0.181641       0.176666       0.004975       
72     92     164    -0.000374           -1320.502102        -1320.501728        0.018872       0.232997       0.231949       0.001048       
72     130    202    -0.001948           -1548.371532        -1548.369584        0.013936       0.064956       0.057856       0.0071         
74     96     170    -0.002903           -1362.73296         -1362.730057        0.071457       0.29959        0.291158       0.008432       
74     98     172    -0.001267           -1380.695042        -1380.693775        0.06213        0.318207       0.312917       0.00529        
74     136    210    -0.001277           -1588.65612         -1588.654843        0.030182       0.162867       0.158013       0.004854       
76     98     174    -0.00181            -1386.558527        -1386.556717        0.056513       0.305836       0.301039       0.004797       
80     96     176    -0.000859           -1371.248561        -1371.247702        0.024005       0.264779       0.263497       0.001282       
86     132    218    -0.240208           -1687.117062        -1686.876854        0.075572       0.108567       0.101571       0.006996       
86     134    220    -0.314583           -1697.454829        -1697.140246        0.099729       0.132535       0.126955       0.00558        
86     136    222    -0.157596           -1707.306188        -1707.148592        0.104441       0.151727       0.148396       0.003331       
88     130    218    -0.470217           -1685.069937        -1684.59972         0.073841       0.095024       0.070404       0.02462        
88     132    220    -1.072705           -1697.477356        -1696.404651        0.117269       0.132143       0.119839       0.012304       
88     134    222    -1.271678           -1709.213269        -1707.941591        0.139938       0.155322       0.147642       0.00768        
88     136    224    -1.017422           -1720.319712        -1719.30229         0.15384        0.175364       0.173201       0.002163       
88     138    226    -0.515479           -1730.93087         -1730.415391        0.143121       0.193911       0.193476       0.000435       
88     140    228    -0.124099           -1741.243671        -1741.119572        0.094709       0.211471       0.209423       0.002048       
88     196    284    -0.282948           -1896.510121        -1896.227173        0.102968       0.137992       0.126504       0.011488       
88     198    286    -0.22141            -1897.095498        -1896.874088        0.081139       0.153014       0.147672       0.005342       
88     200    288    -0.115991           -1897.66254         -1897.546549        0.062          0.168579       0.16723        0.001349       
88     202    290    -0.027958           -1898.183063        -1898.155105        0.025246       0.182593       0.182126       0.000467       
90     130    220    -0.99011            -1692.183348        -1691.193238        0.104448       0.108041       0.084168       0.023873       
90     132    222    -1.663701           -1705.763712        -1704.100011        0.138761       0.143628       0.134019       0.009609       
90     134    224    -1.721265           -1718.745387        -1717.024122        0.161316       0.16837        0.169882       -0.001512      
90     136    226    -1.135461           -1731.080774        -1729.945313        0.170359       0.188908       0.199405       -0.010497      
90     138    228    -0.458448           -1742.843624        -1742.385176        0.162964       0.208653       0.218725       -0.010072      
90     194    284    -1.009194           -1925.679312        -1924.670118        0.131154       0.133086       0.104021       0.029065       
90     196    286    -1.161727           -1927.124624        -1925.962897        0.148337       0.152381       0.139911       0.01247        
90     198    288    -0.82467            -1928.341256        -1927.516586        0.153444       0.168755       0.168147       0.000608       
90     200    290    -0.306009           -1929.442938        -1929.136929        0.141317       0.185111       0.187507       -0.002396      
90     202    292    -0.008591           -1930.539072        -1930.530481        0.084833       0.198685       0.2009         -0.002215      
92     130    222    -1.357127           -1697.517403        -1696.160276        0.120685       0.109702       0.089768       0.019934       
92     132    224    -1.805188           -1712.059405        -1710.254217        0.152446       0.147597       0.149604       -0.002007      
92     134    226    -1.487443           -1726.182526        -1724.695083        0.171532       0.176978       0.191439       -0.014461      
92     136    228    -0.734219           -1739.75113         -1739.016911        0.177389       0.201037       0.219649       -0.018612      
92     138    230    -0.14123            -1752.768102        -1752.626872        0.162928       0.224498       0.236335       -0.011837      
92     192    284    -0.246462           -1951.672219        -1951.425757        0.122238       0.106745       0.0            0.106745       
92     194    286    -1.511265           -1953.853751        -1952.342486        0.151134       0.136138       0.0            0.136138       
92     196    288    -1.531605           -1955.952839        -1954.421234        0.169036       0.157145       0.160604       -0.003459      
92     198    290    -0.78906            -1957.842402        -1957.053342        0.177086       0.175475       0.186721       -0.011246      
92     200    292    -0.038962           -1959.577502        -1959.53854         0.164325       0.196553       0.203301       -0.006748      
94     130    224    -1.616131           -1701.248218        -1699.632087        0.132036       0.105029       0.096759       0.00827        
94     132    226    -1.587634           -1716.541092        -1714.953458        0.162201       0.145975       0.166009       -0.020034      
94     134    228    -0.909264           -1731.629902        -1730.720638        0.176642       0.183273       0.214946       -0.031673      
94     136    230    -0.324938           -1746.405113        -1746.080175        0.173527       0.214781       0.235222       -0.020441      
94     138    232    -0.049918           -1760.769288        -1760.71937         0.110841       0.247104       0.247009       9.5e-05        
94     190    284    -0.784028           -1975.32921         -1974.545182        0.100479       0.067245       -0.0           0.067245       
94     192    286    -1.721342           -1977.878844        -1976.157502        0.137509       0.103219       -0.0           0.103219       
94     194    288    -2.083624           -1980.506964        -1978.42334         0.162847       0.132144       0.129659       0.002485       
94     196    290    -1.420028           -1983.09744         -1981.677412        0.18115        0.155132       0.17347        -0.018338      
94     198    292    -0.424406           -1985.506087        -1985.081681        0.190752       0.177361       0.196786       -0.019425      
96     128    224    -0.367374           -1687.251088        -1686.883714        0.082911       0.042165       -0.001114      0.043279       
96     130    226    -1.737458           -1703.417974        -1701.680516        0.14173        0.098444       0.104999       -0.006555      
96     132    228    -1.227331           -1719.414544        -1718.187213        0.170989       0.141513       0.201913       -0.0604        
96     134    230    -0.362613           -1735.377923        -1735.01531         0.176781       0.188253       0.240638       -0.052385      
96     188    284    -1.042588           -1995.657596        -1994.615008        0.092721       0.046888       -0.0           0.046888       
96     190    286    -2.409559           -1999.351145        -1996.941586        0.125568       0.074016       -0.0           0.074016       
96     192    288    -2.468143           -2002.508838        -2000.040695        0.150707       0.099872       0.100183       -0.000311      
96     194    290    -2.137193           -2005.577493        -2003.4403          0.173642       0.128279       0.141473       -0.013194      
96     196    292    -1.308114           -2008.658074        -2007.34996         0.19108        0.152352       0.176535       -0.024183      
96     198    294    -0.319429           -2011.602586        -2011.283157        0.200541       0.17726        0.199615       -0.022355      
98     128    226    -0.858313           -1687.077111        -1686.218798        0.100752       0.043884       -0.00161       0.045494       
