 Nrows 
   1422 
    Z     N          Q20                 Q30           beta2       beta3
    38    62    -11.7415963433               0.0        -0.5         0.0 
    38    62    -10.5674367089               0.0       -0.45         0.0 
    38    62     -9.3932770746               0.0        -0.4         0.0 
    38    62     -8.2191174403               0.0       -0.35         0.0 
    38    62      -7.044957806               0.0        -0.3         0.0 
    38    62     -5.8707981716               0.0       -0.25         0.0 
    38    62     -4.6966385373               0.0        -0.2         0.0 
    38    62      -3.522478903               0.0       -0.15         0.0 
    38    62     -2.3483192687               0.0        -0.1         0.0 
    38    62     -1.1741596343               0.0       -0.05         0.0 
    38    62              -0.0               0.0        -0.0         0.0 
    38    62      1.1741596343               0.0        0.05         0.0 
    38    62      2.3483192687               0.0         0.1         0.0 
    38    62       3.522478903               0.0        0.15         0.0 
    38    62      4.6966385373               0.0         0.2         0.0 
    38    62      5.8707981716               0.0        0.25         0.0 
    38    62       7.044957806               0.0         0.3         0.0 
    38    62      8.2191174403               0.0        0.35         0.0 
    38    62      9.3932770746               0.0         0.4         0.0 
    38    62     10.5674367089               0.0        0.45         0.0 
    38    62     11.7415963433               0.0         0.5         0.0 
   108   196    -74.9059733923               0.0        -0.5         0.0 
   108   196    -67.4153760531               0.0       -0.45         0.0 
   108   196    -59.9247787139               0.0        -0.4         0.0 
   108   196    -52.4341813746               0.0       -0.35         0.0 
   108   196    -44.9435840354               0.0        -0.3         0.0 
   108   196    -37.4529866962               0.0       -0.25         0.0 
   108   196    -29.9623893569               0.0        -0.2         0.0 
   108   196    -22.4717920177               0.0       -0.15         0.0 
   108   196    -14.9811946785               0.0        -0.1         0.0 
   108   196     -7.4905973392               0.0       -0.05         0.0 
   108   196              -0.0               0.0        -0.0         0.0 
   108   196      7.4905973392               0.0        0.05         0.0 
   108   196     14.9811946785               0.0         0.1         0.0 
   108   196     22.4717920177               0.0        0.15         0.0 
   108   196     29.9623893569               0.0         0.2         0.0 
   108   196     37.4529866962               0.0        0.25         0.0 
   108   196     44.9435840354               0.0         0.3         0.0 
   108   196     52.4341813746               0.0        0.35         0.0 
   108   196     59.9247787139               0.0         0.4         0.0 
   108   196     67.4153760531               0.0        0.45         0.0 
   108   196     74.9059733923               0.0         0.5         0.0 
   108   200    -76.5558424744               0.0        -0.5         0.0 
   108   200     -68.900258227               0.0       -0.45         0.0 
   108   200    -61.2446739795               0.0        -0.4         0.0 
   108   200    -53.5890897321               0.0       -0.35         0.0 
   108   200    -45.9335054847               0.0        -0.3         0.0 
   108   200    -38.2779212372               0.0       -0.25         0.0 
   108   200    -30.6223369898               0.0        -0.2         0.0 
   108   200    -22.9667527423               0.0       -0.15         0.0 
   108   200    -15.3111684949               0.0        -0.1         0.0 
   108   200     -7.6555842474               0.0       -0.05         0.0 
   108   200              -0.0               0.0        -0.0         0.0 
   108   200      7.6555842474               0.0        0.05         0.0 
   108   200     15.3111684949               0.0         0.1         0.0 
   108   200     22.9667527423               0.0        0.15         0.0 
   108   200     30.6223369898               0.0         0.2         0.0 
   108   200     38.2779212372               0.0        0.25         0.0 
   108   200     45.9335054847               0.0         0.3         0.0 
   108   200     53.5890897321               0.0        0.35         0.0 
   108   200     61.2446739795               0.0         0.4         0.0 
   108   200      68.900258227               0.0        0.45         0.0 
   108   200     76.5558424744               0.0         0.5         0.0 
   110   196    -75.7291106847               0.0        -0.5         0.0 
   110   196    -68.1561996162               0.0       -0.45         0.0 
   110   196    -60.5832885478               0.0        -0.4         0.0 
   110   196    -53.0103774793               0.0       -0.35         0.0 
   110   196    -45.4374664108               0.0        -0.3         0.0 
   110   196    -37.8645553423               0.0       -0.25         0.0 
   110   196    -30.2916442739               0.0        -0.2         0.0 
   110   196    -22.7187332054               0.0       -0.15         0.0 
   110   196    -15.1458221369               0.0        -0.1         0.0 
   110   196     -7.5729110685               0.0       -0.05         0.0 
   110   196              -0.0               0.0        -0.0         0.0 
   110   196      7.5729110685               0.0        0.05         0.0 
   110   196     15.1458221369               0.0         0.1         0.0 
   110   196     22.7187332054               0.0        0.15         0.0 
   110   196     30.2916442739               0.0         0.2         0.0 
   110   196     37.8645553423               0.0        0.25         0.0 
   110   196     45.4374664108               0.0         0.3         0.0 
   110   196     53.0103774793               0.0        0.35         0.0 
   110   196     60.5832885478               0.0         0.4         0.0 
   110   196     68.1561996162               0.0        0.45         0.0 
   110   196     75.7291106847               0.0         0.5         0.0 
   110   200    -77.3861609643               0.0        -0.5         0.0 
   110   200    -69.6475448679               0.0       -0.45         0.0 
   110   200    -61.9089287714               0.0        -0.4         0.0 
