 Nrows 
   810 
    Z     N          Q20                 Q30           beta2       beta3
   110   194    -74.9059733923               0.0        -0.5         0.0 
   110   194    -67.4153760531               0.0       -0.45         0.0 
   110   194    -59.9247787139               0.0        -0.4         0.0 
   110   194    -52.4341813746               0.0       -0.35         0.0 
   110   194    -44.9435840354               0.0        -0.3         0.0 
   110   194    -37.4529866962               0.0       -0.25         0.0 
   110   194    -29.9623893569               0.0        -0.2         0.0 
   110   194    -22.4717920177               0.0       -0.15         0.0 
   110   194    -14.9811946785               0.0        -0.1         0.0 
   110   194     -7.4905973392               0.0       -0.05         0.0 
   110   194              -0.0               0.0        -0.0         0.0 
   110   194      7.4905973392               0.0        0.05         0.0 
   110   194     14.9811946785               0.0         0.1         0.0 
   110   194     22.4717920177               0.0        0.15         0.0 
   110   194     29.9623893569               0.0         0.2         0.0 
   110   194     37.4529866962               0.0        0.25         0.0 
   110   194     44.9435840354               0.0         0.3         0.0 
   110   194     52.4341813746               0.0        0.35         0.0 
   110   194     59.9247787139               0.0         0.4         0.0 
   110   194     67.4153760531               0.0        0.45         0.0 
   110   194     74.9059733923               0.0         0.5         0.0 
   110   196    -75.7291106847               0.0        -0.5         0.0 
   110   196    -68.1561996162               0.0       -0.45         0.0 
   110   196    -60.5832885478               0.0        -0.4         0.0 
   110   196    -53.0103774793               0.0       -0.35         0.0 
   110   196    -45.4374664108               0.0        -0.3         0.0 
   110   196    -37.8645553423               0.0       -0.25         0.0 
   110   196    -30.2916442739               0.0        -0.2         0.0 
   110   196    -22.7187332054               0.0       -0.15         0.0 
   110   196    -15.1458221369               0.0        -0.1         0.0 
   110   196     -7.5729110685               0.0       -0.05         0.0 
   110   196              -0.0               0.0        -0.0         0.0 
   110   196      7.5729110685               0.0        0.05         0.0 
   110   196     15.1458221369               0.0         0.1         0.0 
   110   196     22.7187332054               0.0        0.15         0.0 
   110   196     30.2916442739               0.0         0.2         0.0 
   110   196     37.8645553423               0.0        0.25         0.0 
   110   196     45.4374664108               0.0         0.3         0.0 
   110   196     53.0103774793               0.0        0.35         0.0 
   110   196     60.5832885478               0.0         0.4         0.0 
   110   196     68.1561996162               0.0        0.45         0.0 
   110   196     75.7291106847               0.0         0.5         0.0 
     4     4     -0.1743989199               0.0        -0.5         0.0 
     4     4     -0.1569590279               0.0       -0.45         0.0 
     4     4      0.1569590279               0.0        0.45         0.0 
     4     4      0.1743989199               0.0         0.5         0.0 
     6     4     -0.2529650248               0.0        -0.5         0.0 
     6     4     -0.2276685223               0.0       -0.45         0.0 
     6     4      0.2276685223               0.0        0.45         0.0 
     6     4      0.2529650248               0.0         0.5         0.0 
    12     2     -0.4432076066               0.0        -0.5         0.0 
    12     2      -0.398886846               0.0       -0.45         0.0 
    12     2       0.398886846               0.0        0.45         0.0 
    12     2      0.4432076066               0.0         0.5         0.0 
    14    16     -1.5785653675               0.0        -0.5         0.0 
    14    16     -1.4207088308               0.0       -0.45         0.0 
    14    16      1.4207088308               0.0        0.45         0.0 
    14    16      1.5785653675               0.0         0.5         0.0 
    14    24     -2.3408116685               0.0        -0.5         0.0 
    14    24     -2.1067305017               0.0       -0.45         0.0 
    14    24      2.1067305017               0.0        0.45         0.0 
    14    24      2.3408116685               0.0         0.5         0.0 
    46    58     -12.534760628               0.0        -0.5         0.0 
    46    58    -11.2812845652               0.0       -0.45         0.0 
    46    58     11.2812845652               0.0        0.45         0.0 
    46    58      12.534760628               0.0         0.5         0.0 
    50    62    -14.1826434119               0.0        -0.5         0.0 
    50    62    -12.7643790707               0.0       -0.45         0.0 
    50    62     12.7643790707               0.0        0.45         0.0 
    50    62     14.1826434119               0.0         0.5         0.0 
    52    60    -14.1826434119               0.0        -0.5         0.0 
    52    60    -12.7643790707               0.0       -0.45         0.0 
    52    60     12.7643790707               0.0        0.45         0.0 
    52    60     14.1826434119               0.0         0.5         0.0 
    52    62    -14.6072534534               0.0        -0.5         0.0 
    52    62    -13.1465281081               0.0       -0.45         0.0 
    52    62     13.1465281081               0.0        0.45         0.0 
    52    62     14.6072534534               0.0         0.5         0.0 
    52    64    -15.0368590218               0.0        -0.5         0.0 
    52    64    -13.5331731196               0.0       -0.45         0.0 
    52    64     13.5331731196               0.0        0.45         0.0 
    52    64     15.0368590218               0.0         0.5         0.0 
    52    68    -15.9109418816               0.0        -0.5         0.0 
    52    68    -14.3198476935               0.0       -0.45         0.0 
    52    68     14.3198476935               0.0        0.45         0.0 
    52    68     15.9109418816               0.0         0.5         0.0 
    56    64    -15.9109418816               0.0        -0.5         0.0 
    56    64    -14.3198476935               0.0       -0.45         0.0 
    56    64     14.3198476935               0.0        0.45         0.0 
    56    64     15.9109418816               0.0         0.5         0.0 
    56    88    -21.5607881722               0.0        -0.5         0.0 
    56    88     -19.404709355               0.0       -0.45         0.0 
    56    88      19.404709355               0.0        0.45         0.0 
    56    88     21.5607881722               0.0         0.5         0.0 
    56    90    -22.0621875543               0.0        -0.5         0.0 
    56    90    -19.8559687988               0.0       -0.45         0.0 
    56    90     19.8559687988               0.0        0.45         0.0 
    56    90     22.0621875543               0.0         0.5         0.0 
    56    94    -23.0787656781               0.0        -0.5         0.0 
    56    94    -20.7708891103               0.0       -0.45         0.0 
    56    94     20.7708891103               0.0        0.45         0.0 
    56    94     23.0787656781               0.0         0.5         0.0 
    56   102    -25.1664692943               0.0        -0.5         0.0 
    56   102    -22.6498223648               0.0       -0.45         0.0 
    56   102     22.6498223648               0.0        0.45         0.0 
    56   102     25.1664692943               0.0         0.5         0.0 
    58    92    -23.0787656781               0.0        -0.5         0.0 
    58    92    -20.7708891103               0.0       -0.45         0.0 
    58    92     20.7708891103               0.0        0.45         0.0 
    58    92     23.0787656781               0.0         0.5         0.0 
    58    94      -23.59390316               0.0        -0.5         0.0 
    58    94     -21.234512844               0.0       -0.45         0.0 
    58    94      21.234512844               0.0        0.45         0.0 
    58    94       23.59390316               0.0         0.5         0.0 
    58    96    -24.1135793565               0.0        -0.5         0.0 
    58    96    -21.7022214208               0.0       -0.45         0.0 
    58    96     21.7022214208               0.0        0.45         0.0 
    58    96     24.1135793565               0.0         0.5         0.0 
    58    98    -24.6377745332               0.0        -0.5         0.0 
    58    98    -22.1739970799               0.0       -0.45         0.0 
    58    98     22.1739970799               0.0        0.45         0.0 
    58    98     24.6377745332               0.0         0.5         0.0 
    58   100    -25.1664692943               0.0        -0.5         0.0 
    58   100    -22.6498223648               0.0       -0.45         0.0 
    58   100     22.6498223648               0.0        0.45         0.0 
    58   100     25.1664692943               0.0         0.5         0.0 
    58   112    -28.4320832179               0.0        -0.5         0.0 
    58   112    -25.5888748961               0.0       -0.45         0.0 
    58   112     25.5888748961               0.0        0.45         0.0 
    58   112     28.4320832179               0.0         0.5         0.0 
    58   114    -28.9917584414               0.0        -0.5         0.0 
    58   114    -26.0925825973               0.0       -0.45         0.0 
    58   114     26.0925825973               0.0        0.45         0.0 
    58   114     28.9917584414               0.0         0.5         0.0 
    60    90    -23.0787656781               0.0        -0.5         0.0 
    60    90    -20.7708891103               0.0       -0.45         0.0 
    60    90     20.7708891103               0.0        0.45         0.0 
    60    90     23.0787656781               0.0         0.5         0.0 
    60    92      -23.59390316               0.0        -0.5         0.0 
    60    92     -21.234512844               0.0       -0.45         0.0 
    60    92      21.234512844               0.0        0.45         0.0 
    60    92       23.59390316               0.0         0.5         0.0 
    60    94    -24.1135793565               0.0        -0.5         0.0 
    60    94    -21.7022214208               0.0       -0.45         0.0 
    60    94     21.7022214208               0.0        0.45         0.0 
    60    94     24.1135793565               0.0         0.5         0.0 
    60    96    -24.6377745332               0.0        -0.5         0.0 
    60    96    -22.1739970799               0.0       -0.45         0.0 
    60    96     22.1739970799               0.0        0.45         0.0 
    60    96     24.6377745332               0.0         0.5         0.0 
    60    98    -25.1664692943               0.0        -0.5         0.0 
    60    98    -22.6498223648               0.0       -0.45         0.0 
    60    98     22.6498223648               0.0        0.45         0.0 
    60    98     25.1664692943               0.0         0.5         0.0 
    60   100    -25.6996445729               0.0        -0.5         0.0 
    60   100    -23.1296801156               0.0       -0.45         0.0 
    60   100     23.1296801156               0.0        0.45         0.0 
    60   100     25.6996445729               0.0         0.5         0.0 
    60   106    -27.3258675761               0.0        -0.5         0.0 
    60   106    -24.5932808185               0.0       -0.45         0.0 
    60   106     24.5932808185               0.0        0.45         0.0 
    60   106     27.3258675761               0.0         0.5         0.0 
    60   116     -30.124158615               0.0        -0.5         0.0 
    60   116    -27.1117427535               0.0       -0.45         0.0 
    60   116     27.1117427535               0.0        0.45         0.0 
    60   116      30.124158615               0.0         0.5         0.0 
    62    90      -23.59390316               0.0        -0.5         0.0 
    62    90     -21.234512844               0.0       -0.45         0.0 
    62    90      21.234512844               0.0        0.45         0.0 
    62    90       23.59390316               0.0         0.5         0.0 
    62    96    -25.1664692943               0.0        -0.5         0.0 
    62    96    -22.6498223648               0.0       -0.45         0.0 
    62    96     22.6498223648               0.0        0.45         0.0 
    62    96     25.1664692943               0.0         0.5         0.0 
    62    98    -25.6996445729               0.0        -0.5         0.0 
    62    98    -23.1296801156               0.0       -0.45         0.0 
    62    98     23.1296801156               0.0        0.45         0.0 
    62    98     25.6996445729               0.0         0.5         0.0 
    62   100    -26.2372816211               0.0        -0.5         0.0 
    62   100     -23.613553459               0.0       -0.45         0.0 
    62   100      23.613553459               0.0        0.45         0.0 
    62   100     26.2372816211               0.0         0.5         0.0 
    62   114     -30.124158615               0.0        -0.5         0.0 
    62   114    -27.1117427535               0.0       -0.45         0.0 
    62   114     27.1117427535               0.0        0.45         0.0 
    62   114      30.124158615               0.0         0.5         0.0 
    62   118    -31.2738480075               0.0        -0.5         0.0 
    62   118    -28.1464632068               0.0       -0.45         0.0 
    62   118     28.1464632068               0.0        0.45         0.0 
    62   118     31.2738480075               0.0         0.5         0.0 
    62   122    -32.4406975757               0.0        -0.5         0.0 
    62   122    -29.1966278181               0.0       -0.45         0.0 
    62   122     29.1966278181               0.0        0.45         0.0 
    62   122     32.4406975757               0.0         0.5         0.0 
    62   134    -36.0429723129               0.0        -0.5         0.0 
    62   134    -32.4386750816               0.0       -0.45         0.0 
    62   134     32.4386750816               0.0        0.45         0.0 
    62   134     36.0429723129               0.0         0.5         0.0 
    64    90    -24.1135793565               0.0        -0.5         0.0 
    64    90    -21.7022214208               0.0       -0.45         0.0 
    64    90     21.7022214208               0.0        0.45         0.0 
    64    90     24.1135793565               0.0         0.5         0.0 
    64    92    -24.6377745332               0.0        -0.5         0.0 
    64    92    -22.1739970799               0.0       -0.45         0.0 
    64    92     22.1739970799               0.0        0.45         0.0 
    64    92     24.6377745332               0.0         0.5         0.0 
    64    94    -25.1664692943               0.0        -0.5         0.0 
    64    94    -22.6498223648               0.0       -0.45         0.0 
    64    94     22.6498223648               0.0        0.45         0.0 
    64    94     25.1664692943               0.0         0.5         0.0 
    64    98    -26.2372816211               0.0        -0.5         0.0 
    64    98     -23.613553459               0.0       -0.45         0.0 
    64    98      23.613553459               0.0        0.45         0.0 
    64    98     26.2372816211               0.0         0.5         0.0 
    66    86      -23.59390316               0.0        -0.5         0.0 
    66    86     -21.234512844               0.0       -0.45         0.0 
    66    86      21.234512844               0.0        0.45         0.0 
    66    86       23.59390316               0.0         0.5         0.0 
    66    90    -24.6377745332               0.0        -0.5         0.0 
    66    90    -22.1739970799               0.0       -0.45         0.0 
    66    90     22.1739970799               0.0        0.45         0.0 
    66    90     24.6377745332               0.0         0.5         0.0 
    66    92    -25.1664692943               0.0        -0.5         0.0 
    66    92    -22.6498223648               0.0       -0.45         0.0 
    66    92     22.6498223648               0.0        0.45         0.0 
    66    92     25.1664692943               0.0         0.5         0.0 
    66    94    -25.6996445729               0.0        -0.5         0.0 
    66    94    -23.1296801156               0.0       -0.45         0.0 
    66    94     23.1296801156               0.0        0.45         0.0 
    66    94     25.6996445729               0.0         0.5         0.0 
    68    86    -24.1135793565               0.0        -0.5         0.0 
    68    86    -21.7022214208               0.0       -0.45         0.0 
    68    86     21.7022214208               0.0        0.45         0.0 
    68    86     24.1135793565               0.0         0.5         0.0 
    68    90    -25.1664692943               0.0        -0.5         0.0 
    68    90    -22.6498223648               0.0       -0.45         0.0 
    68    90     22.6498223648               0.0        0.45         0.0 
    68    90     25.1664692943               0.0         0.5         0.0 
    68    96    -26.7793620012               0.0        -0.5         0.0 
    68    96     -24.101425801               0.0       -0.45         0.0 
    68    96      24.101425801               0.0        0.45         0.0 
    68    96     26.7793620012               0.0         0.5         0.0 
    70    86    -24.6377745332               0.0        -0.5         0.0 
    70    86    -22.1739970799               0.0       -0.45         0.0 
    70    86     22.1739970799               0.0        0.45         0.0 
    70    86     24.6377745332               0.0         0.5         0.0 
    70    94    -26.7793620012               0.0        -0.5         0.0 
    70    94     -24.101425801               0.0       -0.45         0.0 
    70    94      24.101425801               0.0        0.45         0.0 
    70    94     26.7793620012               0.0         0.5         0.0 
    72    86    -25.1664692943               0.0        -0.5         0.0 
    72    86    -22.6498223648               0.0       -0.45         0.0 
    72    86     22.6498223648               0.0        0.45         0.0 
    72    86     25.1664692943               0.0         0.5         0.0 
    72    88    -25.6996445729               0.0        -0.5         0.0 
    72    88    -23.1296801156               0.0       -0.45         0.0 
    72    88     23.1296801156               0.0        0.45         0.0 
    72    88     25.6996445729               0.0         0.5         0.0 
    72   132    -38.5280851452               0.0        -0.5         0.0 
    72   132    -34.6752766307               0.0       -0.45         0.0 
    72   132     34.6752766307               0.0        0.45         0.0 
    72   132     38.5280851452               0.0         0.5         0.0 
    74    86    -25.6996445729               0.0        -0.5         0.0 
    74    86    -23.1296801156               0.0       -0.45         0.0 
    74    86     23.1296801156               0.0        0.45         0.0 
    74    86     25.6996445729               0.0         0.5         0.0 
    74    88    -26.2372816211               0.0        -0.5         0.0 
    74    88     -23.613553459               0.0       -0.45         0.0 
    74    88      23.613553459               0.0        0.45         0.0 
    74    88     26.2372816211               0.0         0.5         0.0 
    74    94    -27.8767805016               0.0        -0.5         0.0 
    74    94    -25.0891024515               0.0       -0.45         0.0 
    74    94     25.0891024515               0.0        0.45         0.0 
    74    94     27.8767805016               0.0         0.5         0.0 
    76    88    -26.7793620012               0.0        -0.5         0.0 
    76    88     -24.101425801               0.0       -0.45         0.0 
    76    88      24.101425801               0.0        0.45         0.0 
    76    88     26.7793620012               0.0         0.5         0.0 
    76    92    -27.8767805016               0.0        -0.5         0.0 
    76    92    -25.0891024515               0.0       -0.45         0.0 
    76    92     25.0891024515               0.0        0.45         0.0 
    76    92     27.8767805016               0.0         0.5         0.0 
    76    94    -28.4320832179               0.0        -0.5         0.0 
    76    94    -25.5888748961               0.0       -0.45         0.0 
