Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
4      6      10     -71.624639              0.001354       0.0            14        YES            
6      4      10     -67.276437              0.00062        0.0            30        YES            
18     12     30     -215.218461             0.004538       0.0            51        YES            
24     18     42     -321.709321             0.000889       0.0            61        YES            
54     72     126    -1063.490702            5.365089       0.0            84        YES            
56     66     122    -1014.267804            8.947918       0.0            102       YES            
64     90     154    -1265.413885            14.158218      0.0            114       YES            
66     90     156    -1276.608533            14.1136        0.0            132       YES            
68     154    222    -1524.42672             28.301584      0.0            149       YES            
70     88     158    -1274.618863            9.129115       0.0            165       YES            
70     148    218    -1555.893063            24.762093      0.0            182       YES            
72     90     162    -1298.508751            10.37109       0.0            199       YES            
74     88     162    -1282.151847            6.666142       0.0            214       YES            
76     90     166    -1304.363937            7.332588       0.0            233       YES            
78     140    218    -1652.280933            8.893569       0.0            252       YES            
78     160    238    -1698.746602            -15.819579     0.0            256       YES            
84     162    246    -1785.124031            -10.63232      0.0            275       YES            
86     158    244    -1796.8543              18.442718      0.0            306       YES            
86     200    286    -1857.442647            16.897462      0.0            316       YES            
86     202    288    -1856.543234            18.903028      0.0            333       YES            
88     112    200    -1528.94297             13.006286      0.0            352       YES            
88     132    220    -1694.646369            9.197042       0.0            373       YES            
88     134    222    -1706.635175            12.003664      0.0            390       YES            
88     136    224    -1718.205295            14.163015      0.0            408       YES            
88     138    226    -1729.386798            16.068386      0.0            424       YES            
88     140    228    -1740.178794            17.772604      0.0            441       YES            
88     154    242    -1803.308388            22.754148      0.0            459       YES            
88     162    250    -1830.611924            19.983504      0.0            476       YES            
88     170    258    -1853.341996            13.890878      0.0            491       YES            
88     194    282    -1890.169184            12.335674      0.0            504       YES            
88     196    284    -1890.685145            16.361486      0.0            520       YES            
88     198    286    -1890.954203            19.119944      0.0            537       YES            
88     200    288    -1891.037112            21.483249      0.0            554       YES            
88     202    290    -1890.940635            23.550058      0.0            571       YES            
90     132    222    -1701.601285            11.635338      0.0            595       YES            
90     134    224    -1714.764867            14.586868      0.0            611       YES            
90     136    226    -1727.608685            17.171149      0.0            628       YES            
90     138    228    -1740.096907            19.432774      0.0            645       YES            
90     156    246    -1829.012489            25.268808      0.0            663       YES            
90     158    248    -1836.637656            24.617566      0.0            680       YES            
90     194    284    -1919.668616            15.679076      0.0            691       YES            
90     196    286    -1920.93949             19.809434      0.0            707       YES            
90     198    288    -1922.04109             23.042951      0.0            724       YES            
90     200    290    -1923.004657            25.757415      0.0            741       YES            
90     202    292    -1923.72882             27.990691      0.0            758       YES            
92     120    212    -1606.371671            -9.059647      0.0            766       YES            
92     130    222    -1692.388961            8.215604       0.0            799       YES            
92     132    224    -1707.019154            13.932045      0.0            816       YES            
92     134    226    -1721.420221            17.434681      0.0            832       YES            
92     136    228    -1735.600846            20.365615      0.0            850       YES            
92     160    252    -1862.007073            26.851073      0.0            867       YES            
92     162    254    -1869.525255            25.815003      0.0            884       YES            
92     164    256    -1876.709761            24.603277      0.0            901       YES            
92     166    258    -1883.584042            23.187363      0.0            917       YES            
92     170    262    -1896.551396            19.231247      0.0            935       YES            
92     192    284    -1945.580915            1e-06          0.0            944       YES            
92     194    286    -1947.605683            19.111399      0.0            962       YES            
92     196    288    -1949.726472            24.246303      0.0            979       YES            
92     198    290    -1951.790027            27.693475      0.0            996       YES            
94     120    214    -1605.21002             -10.596755     0.0            1004      YES            
94     130    224    -1695.263341            10.053516      0.0            1037      YES            
94     132    226    -1711.018003            17.153499      0.0            1054      YES            
94     144    238    -1797.163888            28.281445      0.0            1071      YES            
94     160    254    -1878.738491            30.512865      0.0            1088      YES            
94     162    256    -1886.839369            29.957072      0.0            1105      YES            
94     168    262    -1908.98847             25.743714      0.0            1122      YES            
