Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
26     36     62          -537.146848             0.140823             0.119046                0.12769               0.601692                    0.81143                       1.413122                         0.0                             0.0                                0.0                         0.959195                 0.86476              3.726742                3.904               3.830665               3.811805           255              YES
32     70     102         -744.831987             0.269994              0.24074               0.248459               2.037457                   4.939864                       6.977321                         0.0                             0.0                                0.0                          0.82461                0.633115              4.275967             4.829069               4.662615               4.339576           259              YES
34     78     112         -795.000268             0.224563             0.182653               0.193268               1.828685                   4.449712                       6.278397                         0.0                             0.0                                0.0                         0.747538                0.623042              4.388829             4.975428               4.804929               4.449435           263              YES
36     32     68          -547.313241            -0.192296            -0.195185              -0.193604              -1.410286                  -1.177908                      -2.588194                         0.0                             0.0                                0.0                         0.738905                1.001153              4.028301             3.886303               3.962112               4.114123           266              YES
40     56     96          -830.503792            -0.000886            -0.002136              -0.001638              -0.009183                  -0.029455                      -0.038638                         0.0                             0.0                                0.0                         0.653626                  0.7392              4.246473             4.409295               4.342194                4.32111           270              YES
40     58     98          -841.544022            -0.001051            -0.002711              -0.002068              -0.010993                  -0.039349                      -0.050342                         0.0                             0.0                                0.0                         0.791537                0.718022               4.26435             4.456008               4.378794                4.33801           274              YES
40     60     100          -850.69313             0.372389             0.344604               0.355169               3.599075                   5.464411                       9.063486                         0.0                             0.0                                0.0                         0.689737                0.750241              4.407255             4.594026               4.520244               4.477918           279              YES
42     58     100         -860.614549            -0.002022            -0.002889               -0.00254              -0.019295                  -0.042485                       -0.06178                         0.0                             0.0                                0.0                         0.818434                 0.76401              4.308216             4.459023               4.396314               4.382054           282              YES
42     74     116         -941.277288            -0.189794            -0.166347              -0.174143              -1.998371                  -3.565727                      -5.564097                         0.0                             0.0                                0.0                         0.841976                0.647087              4.510674             4.814947               4.707051                4.57642           286              YES
42     104    146         -974.772776             0.175053             0.160725               0.164041               2.075425                   6.304714                       8.380139                         0.0                             0.0                                0.0                         0.760578                0.575846              4.717381             5.463214               5.259507               4.771603           291              YES
52     58     110         -920.023427             0.168258             0.176834                0.17278               2.277786                   2.643363                        4.92115                         0.0                             0.0                                0.0                         0.787621                0.584261              4.544505             4.544609                4.54456               4.617903           295              YES
52     72     124        -1049.793031             0.166357             0.168999               0.167927               2.372148                   3.439511                       5.811659                         0.0                             0.0                                0.0                         0.830817                0.542019              4.656079             4.787615                 4.7329               4.724438           299              YES
54     54     108         -873.279556             0.185332             0.180937               0.183171               2.606084                   2.458561                       5.064645                         0.0                             0.0                                0.0                         0.547213                0.667434              4.567271             4.491571               4.529579               4.641752           303              YES
54     56     110         -898.829871             0.204491             0.205087               0.204791                2.92354                   2.963837                       5.887376                         0.0                             0.0                                0.0                         0.630646                 0.64915              4.587218             4.536388               4.561412               4.660919           307              YES
54     58     112          -922.69961             0.226726              0.23651               0.231766               3.312952                   3.595232                       6.908184                         0.0                             0.0                                0.0                         0.697472                0.648473               4.60894             4.584288                4.59619                4.68184           311              YES
54     72     126        -1064.139451             0.219292              0.21767               0.218348               3.339552                   4.512289                       7.851841                         0.0                             0.0                                0.0                         0.703318                0.596124              4.710139             4.814443                4.77002               4.778348           315              YES
54     74     128         -1080.48423             0.186506             0.175984               0.180296               2.802431                    3.78316                       6.585591                         0.0                             0.0                                0.0                         0.726983                 0.57523              4.716629             4.834987               4.785411               4.784296           320              YES
54     88     142        -1166.706961             -0.08232            -0.072803              -0.076207              -1.243459                  -2.058402                      -3.301861                         0.0                             0.0                                0.0                         0.648725                0.718462              4.799714             5.038243                4.94889               4.863132           322              YES
54     90     144        -1175.300601             0.185309             0.180766               0.182361               2.953568                   5.270182                        8.22375                         0.0                             0.0                                0.0                         0.697335                0.489183               4.84396             5.099544               5.005229               4.906368           328              YES
56     54     110         -869.424313             0.211806             0.201762                0.20699               3.178309                   2.795808                       5.974117                         0.0                             0.0                                0.0                         0.518615                0.753626              4.623367             4.519224               4.572539                 4.6974           331              YES
56     56     112         -897.160113             0.232193             0.227104               0.229692               3.533958                     3.3425                       6.876458                         0.0                             0.0                                0.0                         0.593154                0.720616              4.642836               4.5642               4.603686               4.716124           335              YES
56     58     114         -923.081156             0.270993             0.276611               0.273821               4.213407                   4.279174                       8.492582                         0.0                             0.0                                0.0                         0.624171                0.707518              4.670353             4.619514               4.644557               4.742778           339              YES
56     90     146        -1198.001395              0.21096             0.200026               0.203991               3.544202                   5.872891                       9.417093                         0.0                             0.0                                0.0                         0.668028                0.568239              4.886736             5.110937               5.026124               4.949303           352              YES
58     54     112         -863.342552             0.241473              0.22255               0.232623               3.830684                   3.154805                       6.985489                         0.0                             0.0                                0.0                         0.513253                0.818038              4.681053             4.547309               4.617053               4.754594           355              YES
58     56     114         -893.067903             0.274777             0.258702               0.267069               4.411906                   3.896768                       8.308674                         0.0                             0.0                                0.0                         0.570196                0.762828              4.704835             4.595973               4.651677               4.777591           359              YES
58     90     148        -1218.219844             0.256699             0.232076               0.241289               4.528076                    6.89752                      11.425596                         0.0                             0.0                                0.0                         0.604339                0.620615              4.941526             5.130425               5.057238               5.004051           372              YES
60     62     122         -976.366966             0.392397             0.388615               0.390499               6.969049                   6.908974                      13.878023                         0.0                             0.0                                0.0                         0.510771                0.664941              4.843706             4.783292               4.813098               4.913605            19              YES
60     88     148        -1223.849347             0.189619             0.173025                0.17951               3.473503                   4.934407                        8.40791                         0.0                             0.0                                0.0                         0.619371                0.749942              4.931036             5.083656               5.022342                4.99468           380              YES
60     136    196        -1364.850419             -0.07583            -0.089429              -0.085825              -1.589432                  -5.140482                      -6.729914                         0.0                             0.0                                0.0                         0.590082                0.494609              5.262166             5.820829               5.655673               5.313118           381              YES
62     86     148        -1225.629474            -0.065506            -0.059523              -0.061963              -1.232516                  -1.616528                      -2.849044                         0.0                             0.0                                0.0                         0.618061                0.765312              4.919361             5.033594               4.986058               4.984081           386              YES
62     88     150        -1238.337524             0.225815              0.19737               0.208794               4.304082                   5.698922                      10.003004                         0.0                             0.0                                0.0                           0.5826                0.773311              4.979457             5.101526               5.051428               5.043035           392              YES
62     90     152        -1252.649069             0.298419             0.262103               0.276465               5.828794                   7.932476                       13.76127                         0.0                             0.0                                0.0                         0.610076                 0.63715              5.028504             5.160077               5.106818               5.091102           395              YES
62     132    194         -1401.38504            -0.043901            -0.046962              -0.046092              -0.931705                  -2.533546                      -3.465251                         0.0                             0.0                                0.0                         0.539915                0.539324              5.261763             5.722416               5.579334               5.314223           398              YES
62     134    196        -1401.985088            -0.061089            -0.065269              -0.064102              -1.306757                  -3.632444                      -4.939201                         0.0                             0.0                                0.0                           0.5727                0.526459              5.272553             5.762642               5.612244               5.324555           402              YES
62     136    198        -1402.478618             -0.08725            -0.090206              -0.089395              -1.894038                  -5.167976                      -7.062014                         0.0                             0.0                                0.0                         0.607475                0.514613              5.286185             5.803185               5.646389               5.337704           406              YES
