 Nrows 
   537 
    Z     N          Q20                 Q30           beta2       beta3
     2     2           0.00016      0.0001980142    0.001456        0.03 
    22    44          0.997462      0.0539093698    0.084898        0.03 
    24    24          1.539126      0.0285140468    0.222731        0.03 
    24    28          0.604608      0.0334644022    0.076568        0.03 
    26    46           2.19023      0.0641566053    0.161254        0.03 
    30    44          2.458461      0.0677703647    0.172923        0.03 
    30    46          2.177423      0.0714831313    0.146497        0.03 
    32    44          3.127114      0.0714831313    0.210393        0.03 
    32    46          2.724172      0.0752949049    0.175517        0.03 
    34    44          3.488881      0.0752949049    0.224787        0.03 
    34    52          2.080285      0.0915320704    0.113903        0.03 
    34    62         -5.610549      0.1140561873   -0.255739        0.03 
    34    64         -5.876469       0.118858032   -0.258811        0.03 
    36    32         -2.118588      0.0572261078    -0.17157        0.03 
    36    44          4.917267      0.0792056856    0.303727        0.03 
    36    52          1.546358      0.0958388796    0.081486        0.03 
    36    68           9.36966      0.1338576087    0.373747        0.03 
    38    34          6.210344      0.0641566053    0.457233        0.03 
    38    42          -3.33825      0.0792056856   -0.206195        0.03 
    38    44          5.958401      0.0832154734    0.353196        0.03 
    40    36          6.840682      0.0714831313    0.460242        0.03 
    40    42          7.134477      0.0832154734    0.422911        0.03 
    40    44           5.87388      0.0873242684    0.334479        0.03 
    40    58          0.005775       0.118858032    0.000254        0.03 
    40    64         10.800032      0.1338576087    0.430803        0.03 
    40    66         11.020608      0.1390554818    0.425865        0.03 
    40    94         -0.113752      0.2222214517   -0.002974        0.03 
    40    96         -0.126307      0.2289044314   -0.003222        0.03 
    40    98         -0.133111      0.2356864182   -0.003314        0.03 
    40   100         -0.130644      0.2425674121   -0.003175        0.03 
    40   102         -0.120128      0.2495474132   -0.002851        0.03 
    42    36          6.541424      0.0752949049    0.421461        0.03 
    42    38          7.391587      0.0792056856    0.456559        0.03 
    42    42          6.424295      0.0873242684    0.365822        0.03 
    42    58          0.007471      0.1237588837    0.000318        0.03 
    42    64         10.174798      0.1390554818    0.393181        0.03 
    42    96         -0.123664      0.2356864182   -0.003079        0.03 
    42    98         -0.141997      0.2425674121   -0.003451        0.03 
    46    36          2.360552      0.0832154734    0.139927        0.03 
    52    56          3.622771       0.144352362    0.135699        0.03 
    52    90              -0.0      0.2495474132        -0.0        0.03 
    54    54          4.551022       0.144352362    0.170469        0.03 
    54    56          5.522604      0.1497482493    0.200631        0.03 
    54    58          6.644247      0.1552431438    0.234239        0.03 
