 Nrows 
   180 
    Z     N          Q20                 Q30           beta2       beta3
     4     6          0.001354      0.0012375888    0.002676        0.03 
     6     4           0.00062      0.0012375888    0.001225        0.03 
    18    12          0.004538      0.0111382995    0.001437        0.03 
    24    18          0.000889      0.0218310671    0.000161        0.03 
    54    72          5.365089      0.1964796038     0.15543        0.03 
    56    66          8.947918      0.1842027226    0.273547        0.03 
    64    90         14.158218      0.2935065687    0.293574        0.03 
    66    90           14.1136      0.3011796195    0.286422        0.03 
    68   154         28.301584      0.6099332827    0.319006        0.03 
    70    88          9.129115      0.3089516774    0.181375        0.03 
    70   148         24.762093      0.5881517191    0.287697        0.03 
    72    90          10.37109      0.3247928145     0.19764        0.03 
    74    88          6.666142      0.3247928145    0.127036        0.03 
    76    90          7.332588      0.3410299801    0.134169        0.03 
    78   140          8.893569      0.5881517191     0.10333        0.03 
    78   160        -15.819579      0.7010198211   -0.158785        0.03 
    84   162         -10.63232      0.7489392609   -0.100998        0.03 
    86   158         18.442718      0.7368108903     0.17759        0.03 
    86   200         16.897462      1.0122981655    0.124869        0.03 
    86   202         18.903028      1.0265056854    0.138077        0.03 
    88   112         13.006286       0.495035535    0.174453        0.03 
    88   132          9.197042      0.5989929973    0.105241        0.03 
    88   134         12.003664      0.6099332827    0.135301        0.03 
    88   136         14.163015      0.6209725751    0.157272        0.03 
    88   138         16.068386      0.6321108746    0.175806        0.03 
    88   140         17.772604      0.6433481813    0.191618        0.03 
    88   154         22.754148      0.7247815268    0.222132        0.03 
    88   162         19.983504      0.7734930234    0.184791        0.03 
    88   170         13.890878      0.8237886338    0.121882        0.03 
    88   194         12.335674      0.9841801471    0.093323        0.03 
    88   196         16.361486      0.9981896528    0.122331        0.03 
    88   198         19.119944      1.0122981655    0.141293        0.03 
    88   200         21.483249      1.0265056854    0.156924        0.03 
    88   202         23.550058      1.0408122123    0.170048        0.03 
    90   132         11.635338      0.6099332827     0.13115        0.03 
    90   134         14.586868      0.6209725751    0.161979        0.03 
    90   136         17.171149      0.6321108746    0.187872        0.03 
    90   138         19.432774      0.6433481813    0.209517        0.03 
    90   156         25.268808      0.7489392609    0.240032        0.03 
    90   158         24.617566      0.7611666386    0.230711        0.03 
    90   194         15.679076      0.9981896528    0.117228        0.03 
    90   196         19.809434      1.0122981655    0.146388        0.03 
    90   198         23.042951      1.0265056854    0.168317        0.03 
    90   200         25.757415      1.0408122123    0.185987        0.03 
    90   202         27.990691      1.0552177464    0.199811        0.03 
    92   120         -9.059647      0.5562219271   -0.110271        0.03 
    92   130          8.215604      0.6099332827    0.092603        0.03 
    92   132         13.932045      0.6209725751    0.154707        0.03 
    92   134         17.434681      0.6321108746    0.190755        0.03 
    92   136         20.365615      0.6433481813    0.219575        0.03 
    92   160         26.851073      0.7859184154    0.245021        0.03 
    92   162         25.815003      0.7984428144    0.232484        0.03 
    92   164         24.603277      0.8110662205    0.218693        0.03 
    92   166         23.187363      0.8237886338    0.203452        0.03 
    92   170         19.231247      0.8495304816    0.164468        0.03 
    92   192             1e-06      0.9981896528         0.0        0.03 
    92   194         19.111399      1.0122981655    0.141229        0.03 
    92   196         24.246303      1.0265056854    0.177106        0.03 
    92   198         27.693475      1.0408122123    0.199966        0.03 
    94   120        -10.596755       0.566766184   -0.126977        0.03 
    94   130         10.053516      0.6209725751    0.111639        0.03 
    94   132         17.153499      0.6321108746    0.187679        0.03 
    94   144         28.281445      0.7010198211    0.283868        0.03 
    94   160         30.512865      0.7984428144    0.274791        0.03 
    94   162         29.957072      0.8110662205    0.266282        0.03 
    94   168         25.743714      0.8495304816    0.220163        0.03 
    94   170         22.734836      0.8625499162    0.191982        0.03 
    94   192           0.31623      1.0122981655    0.002337        0.03 
    94   194          25.76913      1.0265056854     0.18823        0.03 
    96   130         12.760996      0.6321108746     0.13962        0.03 
    96   158         33.018935      0.7984428144     0.29736        0.03 
    96   164         34.334856      0.8366100541     0.29741        0.03 
    96   166         34.888157      0.8495304816    0.298368        0.03 
    96   192         11.540631      1.0265056854    0.084298        0.03 
    96   220         45.891962      1.2358067096    0.287189        0.03 
    96   238         54.114179      1.3806046035    0.308776        0.03 
    98   160         35.081035      0.8237886338     0.30781        0.03 
    98   162         35.861547      0.8366100541    0.310634        0.03 
    98   188          0.005353      1.0122981655       4e-05        0.03 
    98   190         -0.011797      1.0265056854    -8.6e-05        0.03 
    98   192         40.950842      1.0408122123    0.295694        0.03 
    98   218         46.147589      1.2358067096    0.288789        0.03 
    98   236          56.16853      1.3806046035    0.320498        0.03 
    98   246         63.507939      1.4645131267     0.34499        0.03 
   100   158         35.189577      0.8237886338    0.308762        0.03 
   100   162         36.719168      0.8495304816    0.314027        0.03 
   100   188         -0.029005      1.0265056854   -0.000212        0.03 
   100   190         46.686585      1.0408122123     0.33711        0.03 
   100   216         45.469259      1.2358067096    0.284544        0.03 
   100   228          51.22153      1.3314475749    0.301235        0.03 
   100   230         52.670287       1.347734244    0.306633        0.03 
   100   232         54.028902      1.3641199202    0.311391        0.03 
