 Nrows 
   325 
    Z     N          Q20                 Q30           beta2       beta3
    22    46          1.657778      0.0572261078    0.134252        0.03 
    24    28          0.927425      0.0334644022    0.117449        0.03 
    24    46          2.500098       0.060641853    0.192917        0.03 
    26    20          0.002155      0.0261873798    0.000335        0.03 
    32    48           2.20475      0.0792056856    0.136182        0.03 
    34    48          1.904675      0.0832154734    0.112903        0.03 
    34    56          3.200598      0.1002446958    0.162456        0.03 
    36    32         -2.254646      0.0572261078   -0.182588        0.03 
    36    38         -1.985864      0.0677703647   -0.139682        0.03 
    36    62          -5.06397       0.118858032   -0.223027        0.03 
    36    64         -5.345226      0.1237588837   -0.227619        0.03 
    38    62          9.837943      0.1237588837    0.418935        0.03 
    40    70         -5.196511      0.1497482493   -0.188785        0.03 
    46    58          3.973888      0.1338576087    0.158515        0.03 
    52    66         -4.876107      0.1723218697   -0.157584        0.03 
    54    64          8.972699      0.1723218697    0.289976        0.03 
    54    66          8.970587      0.1782127926      0.2819        0.03 
    54    74          5.868716      0.2027665551    0.165616        0.03 
    54    90          8.031788      0.2566264213    0.186259        0.03 
    56    54          5.739341      0.1497482493    0.208505        0.03 
    56    88          7.763254      0.2566264213    0.180032        0.03 
    56    90          9.214771      0.2638044366    0.208836        0.03 
    56    92         10.854682       0.271081459    0.240486        0.03 
    58    78          5.242927      0.2289044314    0.133737        0.03 
    58    86           6.43917      0.2566264213    0.149326        0.03 
    58    88          8.540413      0.2638044366    0.193553        0.03 
    58    90         10.831072       0.271081459    0.239963        0.03 
    58   136         11.770716      0.4657789349    0.166103        0.03 
    58   138         13.267693      0.4754321278    0.184054        0.03 
    58   140         14.706078      0.4851843278    0.200585        0.03 
    60    78          5.570218      0.2356864182     0.13867        0.03 
    60    86           6.64415      0.2638044366    0.150578        0.03 
    60    88          9.459826       0.271081459    0.209583        0.03 
    60    92         15.467502       0.285932525    0.327786        0.03 
    60   118         10.100319      0.3921176473    0.164517        0.03 
    60   120           7.41466      0.4009787833    0.118544        0.03 
    60   134          9.506178      0.4657789349    0.134146        0.03 
    60   136         11.905035      0.4754321278    0.165151        0.03 
    60   138         14.231702      0.4851843278    0.194114        0.03 
    62    90         14.520013       0.285932525    0.307707        0.03 
    62   132          5.618302      0.4657789349    0.079283        0.03 
    62   134          8.982987      0.4754321278    0.124615        0.03 
    62   136         12.595642      0.4851843278    0.171799        0.03 
    64    88         11.275221       0.285932525    0.238944        0.03 
    64   132          4.265369      0.4754321278    0.059171        0.03 
    64   134          9.240919      0.4851843278    0.126042        0.03 
