 Nrows 
   233 
    Z     N          Q20                 Q30           beta2       beta3
    12     2         -0.849499      0.0024256741   -0.958353        0.03 
    12    14          -0.43701      0.0083661005   -0.175703        0.03 
    16     4         -0.067187      0.0049503553   -0.041829        0.03 
    24    36          0.584567      0.0445531981    0.058321        0.03 
    26    24          1.688124      0.0309397209    0.228225        0.03 
    26    34          1.375677      0.0445531981    0.137248        0.03 
    26    36          0.983943      0.0475729149    0.092945        0.03 
    46    36          1.937027      0.0832154734    0.114821        0.03 
    52    72          4.758966      0.1902916597    0.141597        0.03 
    52    74          3.837733      0.1964796038    0.111182        0.03 
    56    56          6.830874      0.1552431438    0.240818        0.03 
    56    78           5.01692      0.2222214517    0.131171        0.03 
    56    90          9.284406      0.2638044366    0.210414        0.03 
    56   118          9.294635      0.3746923964    0.157239        0.03 
    58    88          8.495764      0.2638044366    0.192541        0.03 
    58    90         10.882085       0.271081459    0.241093        0.03 
    60    60         13.590838      0.1782127926    0.427091        0.03 
    60    74          9.154494      0.2222214517    0.239351        0.03 
    60    86          6.559483      0.2638044366    0.148659        0.03 
    60    88          9.298182       0.271081459    0.206002        0.03 
    60   136          9.651517      0.4754321278    0.133889        0.03 
    60   138         10.805115      0.4851843278    0.147377        0.03 
    60   140         11.818571       0.495035535    0.158523        0.03 
    62   134          7.398513      0.4754321278    0.102635        0.03 
    62   136          8.810031      0.4851843278    0.120165        0.03 
    62   138        -11.151847       0.495035535    -0.14958        0.03 
    64   132          5.718067      0.4754321278    0.079323        0.03 
    64   134         -7.088335      0.4851843278   -0.096682        0.03 
    64   136        -10.162563       0.495035535   -0.136311        0.03 
    66    88         10.847976      0.2935065687    0.224935        0.03 
    66   132          6.191244      0.4851843278    0.084446        0.03 
    66   134         -8.484117       0.495035535   -0.113798        0.03 
    66   136        -11.454123      0.5049857492   -0.151107        0.03 
    68    92         15.489709      0.3168227424     0.30136        0.03 
    68   132          7.192398       0.495035535    0.096472        0.03 
    70   136         14.772073      0.5251831991    0.188613        0.03 
    72   130          4.405407      0.5049857492    0.058118        0.03 
    74    96         17.442339       0.357663174    0.306737        0.03 
    74    98         19.194738      0.3661282817    0.331038        0.03 
    74   136         13.417852      0.5457766773    0.165918        0.03 
    76    98          18.78857      0.3746923964    0.317849        0.03 
    80    96         16.646286      0.3833555183    0.276295        0.03 
    86   134         11.417003      0.5989929973    0.130644        0.03 
    86   136         13.642431      0.6099332827    0.153773        0.03 
    88   136         16.178404      0.6209725751    0.179652        0.03 
    88   138          18.45175      0.6321108746    0.201883        0.03 
    88   140         20.393221      0.6433481813    0.219872        0.03 
    88   196         18.308171      0.9981896528    0.136885        0.03 
    88   198         21.757651      1.0122981655    0.160785        0.03 
    88   200         25.060828      1.0265056854    0.183056        0.03 
    88   202         27.751708      1.0408122123    0.200387        0.03 
    90   134         15.803962      0.6209725751    0.175494        0.03 
    90   136         18.920264      0.6321108746    0.207009        0.03 
    90   138         21.178907      0.6433481813    0.228343        0.03 
    90   194         14.905454      0.9981896528    0.111444        0.03 
    90   196         20.432096      1.0122981655    0.150989        0.03 
    90   198         25.028561      1.0265056854     0.18282        0.03 
    90   200         28.368351      1.0408122123    0.204839        0.03 
    90   202         30.872995      1.0552177464    0.220386        0.03 
    92   134         18.142902      0.6321108746    0.198504        0.03 
    92   136         21.236365      0.6433481813    0.228963        0.03 
    92   138         23.271837       0.654684495    0.247283        0.03 
    92   192             6e-06      0.9981896528         0.0        0.03 
    92   194             9e-06      1.0122981655         0.0        0.03 
    92   196         23.692516      1.0265056854    0.173061        0.03 
    92   198         28.059395      1.0408122123    0.202609        0.03 
    92   200         31.057307      1.0552177464    0.221701        0.03 
    94   130           8.90562      0.6209725751    0.098892        0.03 
    94   132          15.66839      0.6321108746     0.17143        0.03 
    94   134          20.81451      0.6433481813    0.224415        0.03 
    94   136         23.220842       0.654684495    0.246741        0.03 
    94   138         24.796693      0.6661198159    0.259711        0.03 
    94   190            -3e-06      0.9981896528        -0.0        0.03 
    94   192            -3e-06      1.0122981655        -0.0        0.03 
    94   194         19.038576      1.0265056854    0.139067        0.03 
    94   196         25.852482      1.0408122123    0.186673        0.03 
    94   198         29.849173      1.0552177464    0.213077        0.03 
    96   128         -0.102355      0.6209725751   -0.001137        0.03 
    96   130          9.824481      0.6321108746    0.107491        0.03 
    96   132         19.497443      0.6433481813    0.210214        0.03 
    96   134         23.732664       0.654684495    0.252179        0.03 
    96   188            -3e-06      0.9981896528        -0.0        0.03 
    96   190            -6e-06      1.0122981655        -0.0        0.03 
    96   192         14.606988      1.0265056854    0.106696        0.03 
    96   194         20.991348      1.0408122123    0.151572        0.03 
    96   196         26.619719      1.0552177464    0.190024        0.03 
    96   198         30.617934      1.0697222876    0.216093        0.03 
    98   128         -0.149507      0.6321108746   -0.001636        0.03 
    98   130         10.582659      0.6433481813    0.114098        0.03 
    98   132         27.567219       0.654684495    0.292925        0.03 
    98   186            -1e-06      0.9981896528        -0.0        0.03 
    98   188          0.137916      1.0122981655    0.001019        0.03 
    98   190         11.768062      1.0265056854    0.085959        0.03 
    98   192         16.952854      1.0408122123    0.122412        0.03 
    98   194         21.958902      1.0552177464    0.156753        0.03 
    98   196         26.683827      1.0697222876    0.188327        0.03 
    98   198         30.639477      1.0843258358    0.213815        0.03 
    98   262          9.216126      1.6039151334    0.046411        0.03 
   100   126            -2e-06      0.6321108746        -0.0        0.03 
   100   128          0.274349      0.6433481813    0.002958        0.03 
   100   130         33.362315       0.654684495    0.354503        0.03 
   100   132         32.465503      0.6661198159    0.340031        0.03 
   100   184            -2e-06      0.9981896528        -0.0        0.03 
   100   186              -0.0      1.0122981655        -0.0        0.03 
   100   188            -1e-06      1.0265056854        -0.0        0.03 
   100   190         13.626325      1.0408122123    0.098392        0.03 
   100   192         18.595865      1.0552177464    0.132746        0.03 
   100   194         22.830139      1.0697222876    0.161129        0.03 
   100   196         26.828731      1.0843258358    0.187222        0.03 
   100   198         30.464317      1.0990283912     0.21022        0.03 
   100   260         -0.321339      1.6039151334   -0.001618        0.03 
   100   262          9.828776      1.6217859162    0.049041        0.03 
   100   264         15.502265      1.6397557061    0.076642        0.03 
   102   128         -0.675631       0.654684495   -0.007179        0.03 
   102   184         -0.040651      1.0122981655     -0.0003        0.03 
   102   186            -2e-06      1.0265056854        -0.0        0.03 
   102   188          0.434125      1.0408122123    0.003135        0.03 
   102   190         14.552317      1.0552177464    0.103881        0.03 
   102   192          19.65009      1.0697222876    0.138685        0.03 
   102   194         23.833592      1.0843258358    0.166321        0.03 
   102   196          27.43526      1.0990283912    0.189318        0.03 
   102   260         -0.106122      1.6217859162    -0.00053        0.03 
   102   262          9.539564      1.6397557061    0.047163        0.03 
   102   264         16.002062      1.6578245031    0.078394        0.03 
   104   184          -1.3e-05      1.0265056854        -0.0        0.03 
   104   186            -1e-06      1.0408122123        -0.0        0.03 
   104   188          0.806855      1.0552177464     0.00576        0.03 
   104   190         14.850147      1.0697222876    0.104808        0.03 
   104   192         20.284306      1.0843258358    0.141552        0.03 
   104   194         55.418968      1.0990283912     0.38242        0.03 
   104   196         28.383268      1.1138299537    0.193688        0.03 
   104   260          0.024767      1.6397557061    0.000122        0.03 
   104   262          8.449556      1.6578245031    0.041394        0.03 
   104   264         15.742172      1.6759923073    0.076424        0.03 
   106   184            -9e-06      1.0408122123        -0.0        0.03 
   106   186          0.080156      1.0552177464    0.000572        0.03 
   106   188          1.043899      1.0697222876    0.007368        0.03 
   106   190         14.531433      1.0843258358    0.101406        0.03 
   106   260          0.083226      1.6578245031    0.000408        0.03 
   106   262          0.059655      1.6759923073     0.00029        0.03 
   106   264         15.047769      1.6942591185    0.072396        0.03 
   108   186         -0.054994      1.0697222876   -0.000388        0.03 
   108   262          0.196099      1.6942591185    0.000943        0.03 
   108   264         13.621856      1.7126249369    0.064949        0.03 
   108   266         19.663209      1.7310897623     0.09292        0.03 
   108   268         25.098377      1.7496535949    0.117555        0.03 
   108   270         30.217673      1.7683164345    0.140287        0.03 
   108   272         34.889067      1.7870782813    0.160556        0.03 
   110   264         10.975136      1.7310897623    0.051864        0.03 
   110   266         18.032058      1.7496535949    0.084458        0.03 
   110   268         23.616311      1.7683164345     0.10964        0.03 
   112   188         68.636626      1.1138299537    0.468378        0.03 
   112   192        -57.827008         1.1437301   -0.385997        0.03 
   112   216         44.892604      1.3314475749    0.264015        0.03 
   112   264          0.473286      1.7496535949    0.002217        0.03 
   112   266         15.617101      1.7683164345    0.072503        0.03 
   112   268         21.462806      1.7870782813     0.09877        0.03 
   114   266         11.726178      1.7870782813    0.053963        0.03 
   114   268         18.570384      1.8059391352    0.084715        0.03 
   114   280         55.069031      1.9211834078    0.238592        0.03 
   114   282         57.182649      1.9407373114    0.245668        0.03 
   114   288         62.401165      1.9999930649    0.261452        0.03 
   116   190         -7.241467      1.1588286839   -0.047812        0.03 
   116   266          0.791858      1.8059391352    0.003612        0.03 
   116   268         14.501538      1.8248989962     0.06558        0.03 
   116   270         20.546221      1.8439578643    0.092115        0.03 
   116   272        -84.996807      1.8631157395   -0.377798        0.03 
   116   282         56.118141      1.9603902221    0.239079        0.03 
   116   284         58.097471        1.98014214    0.245452        0.03 
   118   190         -6.235897      1.1740262748   -0.040728        0.03 
   118   266           0.54945      1.8248989962    0.002485        0.03 
   118   268           7.22585      1.8439578643    0.032396        0.03 
   118   270         15.720582      1.8631157395    0.069876        0.03 
   118   272        -88.443458      1.8823726218   -0.389763        0.03 
   120   190             1e-06      1.1893228728         0.0        0.03 
   120   216         45.644104       1.397188294    0.257867        0.03 
   120   240        103.205922      1.6039151334    0.519729        0.03 
   120   264          0.169082      1.8248989962    0.000765        0.03 
   120   266          0.332262      1.8439578643     0.00149        0.03 
   120   268          0.949927      1.8631157395    0.004222        0.03 
   120   270         -9.192735      1.8823726218   -0.040512        0.03 
   120   272        -70.420837      1.9017285112   -0.307705        0.03 
    62   132            5.9013      0.4657789349    0.083276        0.03 
    68   134         11.295214      0.5049857492    0.149011        0.03 
    70    92         14.102452      0.3247928145    0.268748        0.03 
    72    92         12.922981      0.3328618937    0.241286        0.03 
    86   132          8.903216      0.5881517191    0.103442        0.03 
    88   130          6.096155      0.5881517191    0.070828        0.03 
    88   132         10.714971      0.5989929973    0.122611        0.03 
    88   134         13.511638      0.6099332827    0.152299        0.03 
    90   130          7.449152      0.5989929973     0.08524        0.03 
    90   132         12.204066      0.6099332827     0.13756        0.03 
    92   130          8.107784      0.6099332827    0.091388        0.03 
    92   132         13.856324      0.6209725751    0.153867        0.03 
   102   130        -29.586039      0.6661198159   -0.309873        0.03 
   102   132        -30.862406      0.6776541439   -0.318649        0.03 
   106   192         20.286784      1.0990283912     0.13999        0.03 
   106   194          25.58364      1.1138299537    0.174583        0.03 
   106   196         29.507581      1.1287305233    0.199143        0.03 
   108   188         -0.617335      1.0843258358   -0.004308        0.03 
   108   190         13.692975      1.0990283912    0.094489        0.03 
   108   192          19.54623      1.1138299537    0.133384        0.03 
   108   194         25.315867      1.1287305233    0.170854        0.03 
