Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            25.379555            -0.462235            -0.119506              -0.448761                -1.3848                  -0.019901                      -1.404701                    0.001045                         1.1e-05                           0.001056                         1.689601                0.844232              4.080179             2.183862               3.893974               4.175317           280              YES
22     46     68          -511.477807             0.130368             0.118114               0.121452                0.47253                   1.185248                       1.657778                    0.005463                        0.013612                           0.019075                         0.997339                0.685426              3.737951             4.224316               4.073323               3.812023             1              YES
24     28     52          -454.959173             0.127051             0.101731               0.113243               0.434227                   0.493198                       0.927425                    0.005223                        0.005931                           0.011155                         0.896146                0.910333              3.587782             3.637743                3.61477               3.679501             2              YES
24     46     70          -553.463822             0.204761             0.163343               0.175733               0.832167                   1.667932                       2.500098                    0.006727                        0.013487                           0.020214                         0.920859                0.689346               3.80768             4.209785               4.076391               3.883027             3              YES
26     20     46          -353.619446             0.000323             0.000227               0.000284               0.001403                   0.000752                       0.002155                    0.005474                        0.003256                           0.008729                         0.970802                 1.02135              3.638321              3.40388               3.538299               3.734979             4              YES
32     48     80          -689.239844             0.149112             0.120545                0.13131               0.909823                   1.294927                        2.20475                    0.010887                        0.015515                           0.026402                         0.784927                 0.77778              4.015353             4.216136               4.136992               4.092787             5              YES
34     48     82          -711.749222             0.123696             0.101705               0.110415               0.821297                   1.083378                       1.904675                    0.011947                        0.015791                           0.027738                         0.778659                0.859616              4.062333             4.221653               4.156335               4.140126             6              YES
34     56     90          -754.791506             0.163846              0.15058               0.155175               1.156961                   2.043637                       3.200598                    0.012048                        0.021367                           0.033415                         0.801417                0.749203              4.139803             4.430977               4.323284               4.212926             7              YES
36     32     68          -547.014528            -0.166353            -0.171584              -0.168713              -1.229183                  -1.025463                      -2.254646                    0.010405                        0.008671                           0.019075                         0.872018                0.845104              4.035797             3.881434               3.963905               4.121463             8              YES
36     38     74           -628.12187            -0.134788            -0.127192              -0.130918              -0.995659                  -0.990205                      -1.985864                    0.011325                        0.011265                            0.02259                         0.993593                0.856612              4.058205             4.025467               4.041427               4.141072             9              YES
36     62     98          -806.357768            -0.215994            -0.199766              -0.205186              -1.778951                  -3.285019                       -5.06397                    0.013923                        0.025696                           0.039619                         0.933791                0.685426              4.275274             4.600446               4.483736               4.345114            10              YES
36     64     100          -813.19188            -0.221378             -0.20228              -0.208486              -1.841041                  -3.504185                      -5.345226                    0.014206                        0.027046                           0.041253                         0.949809                0.676912              4.298623             4.646665               4.524455               4.367352            11              YES
38     62     100          -835.81889             0.403433             0.364793               0.378485               3.688758                   6.149184                       9.837943                    0.015461                        0.025792                           0.041253                         0.818354                0.626813              4.400691              4.65049               4.557179               4.469748            12              YES
40     70     110         -897.241112            -0.186432             -0.17055              -0.175821              -1.840296                  -3.356215                      -5.196512                    0.017654                        0.032262                           0.049916                         0.968772                0.650346              4.427361             4.748155               4.634073                4.49448            13              YES
46     58     104         -891.277159             0.154275             0.155969               0.155235               1.699034                   2.274854                       3.973888                    0.019054                        0.025566                           0.044619                         0.946457                 0.59966              4.419994             4.501553               4.465663               4.493546            14              YES
52     66     118         -996.456013            -0.146477            -0.157634              -0.152809              -2.049968                  -2.826139                      -4.876107                    0.024164                        0.033277                           0.057441                          1.01568                0.497569              4.607136             4.684763               4.650714               4.677643            15              YES
