Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
4      20     24     0.000159            -50.900442          -50.900283          -0.0           0.009999       -0.450852      YES
10     36     46     0.115987            -198.420016         -198.304029         0.066793       0.01           -0.322112      YES
12     12     24     2390.739495         -196.847541         2193.891954         0.46332        20.231481      0.157738       NO
16     28     44     0.104935            -354.323619         -354.218684         -0.128236      0.010001       0.013939       YES
22     14     36     3081.754831         -245.537059         2836.217772         1.229075       -17.300685     1.127713       NO
32     46     78     0.093826            -677.280865         -677.187039         0.156426       0.01           -0.007296      YES
34     48     82     0.053205            -713.254257         -713.201052         0.125323       0.01           -0.008038      YES
34     62     96     0.188851            -772.377816         -772.188965         -0.209161      0.01           0.020217       YES
34     66     100    0.307078            -780.90839          -780.601312         -0.203325      0.01           0.019611       YES
36     48     84     0.061169            -732.792536         -732.731367         0.080383       0.01           -0.004433      YES
36     54     90     0.042172            -771.416616         -771.374444         0.126073       0.01           -0.007568      YES
36     60     96     0.283644            -797.798728         -797.515084         -0.229156      0.01           0.017163       YES
36     64     100    0.163027            -810.669363         -810.506336         -0.214651      0.01           -0.571903      YES
38     60     98     0.060242            -824.708433         -824.648191         -0.199188      0.01           -0.58664       YES
38     62     100    0.050926            -833.372681         -833.321755         -0.202818      0.01           -0.589851      YES
38     64     102    0.036249            -841.487461         -841.451212         -0.197526      0.01           -0.580305      YES
40     34     74     0.127243            -576.615448         -576.488205         -0.176755      0.01           0.013469       YES
40     64     104    0.036427            -870.021396         -869.984969         -0.188936      0.01           -0.570925      YES
40     66     106    0.084788            -879.293067         -879.208279         -0.191875      0.01           -0.566543      YES
40     70     110    0.381034            -894.889801         -894.508767         0.346093       0.01           -0.035908      YES
42     64     106    0.106805            -895.385939         -895.279134         -0.195145      0.01           0.011847       YES
44     34     78     0.097362            -566.198453         -566.101091         0.128743       0.01           -0.01463       YES
44     68     112    0.200602            -941.871462         -941.67086          -0.202607      0.01           0.004898       YES
52     62     114    0.039164            -958.384463         -958.345299         0.242441       0.01           -0.022226      YES
52     92     144    0.034859            -1151.916678        -1151.881819        0.163585       0.01           -0.018698      YES
52     94     146    0.048074            -1156.455354        -1156.40728         0.20614        0.01           -0.014606      YES
54     88     142    0.049361            -1165.465466        -1165.416105        0.159695       0.01           -0.015382      YES
54     90     144    0.035416            -1172.299504        -1172.264088        0.177576       0.01           -0.013548      YES
54     92     146    0.033833            -1178.531953        -1178.49812         0.196013       0.01           -0.015495      YES
54     94     148    0.057729            -1184.655275        -1184.597546        0.218713       0.01           -0.016054      YES
56     54     110    0.084892            -867.640583         -867.555691         0.195413       0.01           -0.011137      YES
56     56     112    0.072424            -895.142348         -895.069924         0.213292       0.01           -0.014108      YES
56     58     114    0.035885            -920.600656         -920.564771         0.232481       0.01           -0.014709      YES
56     86     142    0.033774            -1176.656603        -1176.622829        0.145546       0.01           -0.015973      YES
56     88     144    0.078149            -1186.259611        -1186.181462        0.175068       0.009971       -0.018953      NO
56     90     146    0.050665            -1194.767978        -1194.717313        0.196475       0.009893       -0.010659      NO
56     92     148    0.068362            -1202.675699        -1202.607337        0.225494       0.009976       -0.006982      NO
56     136    192    0.200976            -1263.260134        -1263.059158        0.14768        0.01           -0.018418      NO
56     138    194    0.227073            -1260.149188        -1259.922115        0.160995       0.01           -0.022025      YES
58     56     114    0.036054            -890.718882         -890.682828         0.239829       0.01           -0.017173      YES
58     66     124    0.118213            -1018.452293        -1018.33408         0.328914       0.01           -0.035115      YES
58     84     142    0.015635            -1181.964975        -1181.94934         0.095988       0.01           -0.014503      YES
58     86     144    0.03445             -1193.270672        -1193.236222        0.149675       0.009995       -0.015012      NO
58     88     146    0.059455            -1204.278216        -1204.218761        0.185807       0.009963       -0.015329      NO
58     90     148    0.177906            -1214.632189        -1214.454283        0.229243       0.01           0.005543       YES
58     132    190    0.085633            -1309.836958        -1309.751325        0.10191        0.01           -0.006994      YES
58     134    192    0.11429             -1307.808014        -1307.693724        0.130951       0.01           -0.017847      YES
58     136    194    0.142934            -1305.671756        -1305.528822        0.149836       0.01           -0.021215      YES
58     138    196    0.085204            -1303.343522        -1303.258318        0.167715       0.01           -0.02161       YES
