 Nrows 
   369 
    Z     N          Q20                 Q30           beta2       beta3
     4    20              -0.0      0.0071285117        -0.0        0.03 
    10    36      0.6251791392      0.0261873798    0.097122        0.03 
    12    12      0.6636237296      0.0071285117    0.304892        0.03 
    16    28     -0.8572234966      0.0239597199   -0.143411        0.03 
    22    14     -0.0297035581      0.0160391513   -0.006943        0.03 
    32    46      2.4984648653      0.0752949049    0.160975        0.03 
    34    48      2.1529249933      0.0832154734    0.127619        0.03 
    34    62     -5.0425466633      0.1140561873   -0.229848        0.03 
    34    66     -5.2543408804      0.1237588837   -0.223749        0.03 
    36    48       1.405727082      0.0873242684    0.080047        0.03 
    36    54      2.6035451362      0.1002446958    0.132151        0.03 
    36    60      -5.426011706      0.1140561873   -0.247327        0.03 
    40    34      -2.714620976      0.0677703647   -0.190941        0.03 
    40    70     10.5115634244      0.1497482493    0.381876        0.03 
    42    64     -5.3828925389      0.1390554818   -0.208009        0.03 
    44    34      2.1135639167      0.0752949049    0.136176        0.03 
    44    68     -6.0687247507      0.1552431438   -0.213949        0.03 
    52    62      7.5143801795      0.1608370453    0.257214        0.03 
    52    92      7.4206627084      0.2566264213    0.172087        0.03 
    52    94      9.7097452401      0.2638044366    0.220054        0.03 
    54    88      6.9622451133      0.2495474132    0.165264        0.03 
    54    90      8.0192764312      0.2566264213    0.185969        0.03 
    54    92      9.1380257119      0.2638044366    0.207097        0.03 
    54    94     10.4959672712       0.271081459    0.232539        0.03 
    56    54      5.6489647662      0.1497482493    0.205222        0.03 
    56    56       6.381168385      0.1552431438    0.224964        0.03 
    56    58      7.2169764992      0.1608370453    0.247034        0.03 
    56    86      6.2937155624      0.2495474132    0.149395        0.03 
    56    88       7.816648144      0.2566264213     0.18127        0.03 
    56    90      9.0797815367      0.2638044366    0.205777        0.03 
    56    92     10.7667855151       0.271081459    0.238539        0.03 
    56   136     11.2024888469       0.456224749    0.160838        0.03 
    56   138     12.5304147488      0.4657789349    0.176823        0.03 
    58    56      7.4841431649      0.1608370453    0.256179        0.03 
    58    66     11.8905802517      0.1902916597    0.353788        0.03 
    58    84      4.0576866397      0.2495474132    0.096318        0.03 
    58    86      6.6435256595      0.2566264213    0.154065        0.03 
    58    88       8.536125111      0.2638044366    0.193456        0.03 
    58    90     10.8752030855       0.271081459    0.240941        0.03 
    58   132      7.4272534967      0.4467695703    0.108513        0.03 
    58   134      9.7981205843       0.456224749    0.140675        0.03 
    58   136     11.5154272729      0.4657789349      0.1625        0.03 
    58   138     13.2461527547      0.4754321278    0.183755        0.03 
    60    68     12.7791590744      0.2027665551     0.36063        0.03 
