Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      6      10          1310.407205            -0.395138            -0.395368              -0.395253            -179.200493                -179.979351                    -359.179844                   -0.211576                       -0.315898                          -0.527474                              0.0                     0.0              6.250956             6.242378              84.871783               6.305521             1               NO
6      4      10           1414.25593             0.144646             0.144634                0.14464              76.459771                  76.452471                     152.912242                   -0.353422                       -0.235615                          -0.589036                             -0.0                     0.0              6.062563             6.062514              91.542321                6.11887             2               NO
18     12     30            -215.1666             0.000857             0.001131               0.000953               0.002171                   0.001558                       0.003729                    0.002827                        0.000886                           0.003713                         1.531624                 1.36778              3.340074             3.017232                3.21483               3.446838             3              YES
24     18     42          -321.664501             0.000129              0.00011               0.000121               0.000501                   0.000279                       0.000779                     0.00472                        0.002557                           0.007277                          1.22832                 1.42619              3.586401             3.343069               3.484197               3.684725             4              YES
54     72     126        -1063.457151             0.154806              0.14228               0.147542               2.345741                   2.976155                       5.321896                    0.028718                        0.036775                           0.065493                         1.318542                0.673587              4.716219             4.798823               4.763596               4.784341             5              YES
56     66     122         -1014.18849             0.242727             0.244492               0.243683               3.865521                   4.603666                       8.469188                    0.028396                        0.033005                           0.061401                         1.227443                0.747575              4.747835             4.755463               4.751963               4.817375             6              YES
64     90     154        -1265.333381             0.281747             0.250915               0.263453               5.841687                    7.59054                      13.432227                    0.041893                        0.055943                           0.097836                         1.139134                0.700534               5.06751             5.161746               5.122793               5.130146             7              YES
66     90     156        -1276.528206             0.275251             0.246135               0.258252               5.957472                   7.473771                      13.431244                    0.043815                        0.056578                           0.100393                         1.135771                0.704306              5.098468             5.171383               5.140661               5.161207             8              YES
68     154    222        -1524.103864             0.299089             0.256823               0.268413               7.929418                  18.022494                      25.951912                    0.059913                        0.143398                           0.203311                          1.31328                0.394076              5.559187             6.010003               5.875591               5.607462             9              YES
70     88     158        -1274.591358             0.179279             0.163088               0.170223               4.137068                   4.776561                        8.91363                    0.047147                        0.055838                           0.102984                         1.030037                0.831562              5.111848             5.136306               5.125485                5.17562            10              YES
