EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE0,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-125.46199,0.0,0,0
UNE0,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-107.776851,-17.685139,0,0
UNE0,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-121.275225,4.186765,100,0
UNE0,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-129.260874,-3.798884,0,0
UNE0,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-125.774901,-0.312911,0,0
UNE0,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-113.136868,-12.325122,0,0
UNE0,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-132.10331,-6.64132,100,0
UNE0,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-116.247375,-9.214615,0,0
UNE0,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-122.661299,2.800691,100,0
UNE0,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-126.15535,-0.69336,0,0
UNE0,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-110.834725,-14.627265,0,0
UNE0,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-118.291263,7.170727,100,0
UNE0,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-128.779124,-3.317134,100,0
UNE0,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-340.286443,0.0,0,0
UNE0,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-326.5836,-13.702843,0,0
UNE0,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-343.032894,-2.746451,0,0
UNE0,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-350.195001,-9.908558,0,0
UNE0,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-323.982856,-16.303587,0,0
UNE0,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-320.845992,-19.440451,0,0
UNE0,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-344.64389,-4.357447,0,0
UNE0,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-346.571018,-6.284575,0,0
UNE0,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-340.397907,-0.111464,0,0
UNE0,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-343.382455,-3.096012,0,0
UNE0,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-319.141297,-21.145146,0,0
UNE0,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-330.759436,-9.527007,0,0
UNE0,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-333.360763,-6.92568,0,0
UNE0,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-322.570102,-17.716341,0,0
UNE0,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-336.360961,3.925482,0,0
UNE0,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-333.856082,6.430361,0,0
UNE0,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-339.940939,0.345504,0,0
UNE0,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-338.153142,2.133301,0,0
UNE0,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-327.500428,-12.786015,0,0
UNE0,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-414.054074,0.0,0,0
UNE0,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-405.526994,-8.52708,0,0
UNE0,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-398.861897,-15.192177,0,0
