EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE0,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-126.757388,0.0,0,0
UNE1,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-122.345262,4.412126,0,0
UNE1,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 1, 0",-103.819434,-22.937954,0,3
UNE1,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-103.899849,-22.857539,0,3
UNE1,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-115.789089,10.968299,0,0
UNE1,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-125.890979,0.866409,0,0
UNE1,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-128.160846,-1.403458,0,0
UNE1,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-124.667257,2.090131,0,0
UNE1,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-122.727451,4.029937,0,0
UNE1,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-112.751154,14.006234,0,0
UNE1,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-106.852185,-19.905203,0,3
UNE1,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 1, 0",-106.768257,-19.989131,0,3
UNE1,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-119.171002,7.586386,0,0
UNE0,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-341.318197,0.0,0,0
UNE1,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-325.013446,-16.304751,0,3
UNE1,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-350.897035,-9.578838,0,0
UNE1,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-343.89209,-2.573893,0,0
UNE1,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-326.918753,-14.399444,0,3
UNE1,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-346.985105,-5.666908,0,0
UNE1,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-340.014617,1.30358,0,0
UNE1,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-321.285716,-20.032481,0,3
UNE1,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-347.049208,-5.731011,0,0
UNE1,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-331.719719,-9.598478,0,3
UNE1,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-343.834604,-2.516407,0,0
