EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SKP,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-127.678587,0,0,0
SKP,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-114.664394,-13.014193,0,0
SKP,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-127.889943,-0.211356,0,0
SKP,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-131.758395,-4.079808,0,0
SKP,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-109.735344,-17.943243,0,0
SKP,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-121.954927,5.72366,0,0
SKP,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-133.562703,-5.884116,0,0
SKP,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-128.579458,-0.900871,0,0
SKP,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-112.865045,-14.813542,0,0
SKP,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-118.971038,8.707549,0,0
SKP,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-117.733095,-9.945492,0,0
SKP,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-124.833324,2.845263,0,0
SKP,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-130.198752,-2.520165,0,0
SKP,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-343.417214,0,0,0
SKP,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-345.950394,-2.53318,0,0
SKP,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-329.125135,-14.292079,0,0
SKP,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-326.914763,-16.502451,0,0
SKP,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-352.587195,-9.169981,0,0
SKP,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-347.780882,-4.363668,0,0
SKP,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-323.692827,-19.724387,0,0
SKP,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-342.191278,1.225936,0,0
SKP,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-349.607941,-6.190727,0,0
SKP,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-324.512798,-18.904416,0,0
SKP,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-339.407086,4.010128,0,0
SKP,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-335.809143,-7.608071,0,0
SKP,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-333.742033,-9.675181,0,0
SKP,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-345.677291,-2.260077,0,0
SKP,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-321.386572,-22.030642,0,0
SKP,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-341.323268,2.093946,0,0
SKP,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-330.50027,-12.916944,0,0
SKP,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-335.646554,7.77066,0,0
SKP,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-342.895616,0.521598,0,0
SKP,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-415.734366,0,0,0
SKP,'',20,29,49,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-417.925487,-2.191121,0,0
SKP,'',20,27,47,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-402.009795,-13.724571,0,0
SKP,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-400.092664,-15.641702,0,0
SKP,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-406.7595,-8.974866,0,0
SKP,'',20,29,49,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-420.372831,-4.638465,0,0
SKP,'',20,27,47,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-397.604829,-18.129537,0,0
SKP,'',20,29,49,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-414.48675,1.247616,0,0
SKP,'',20,29,49,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-421.788179,-6.053813,0,0
SKP,'',21,28,49,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-415.16571,0.568656,0,0
SKP,'',21,28,49,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-421.165985,-5.431619,0,0
SKP,'',21,28,49,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-419.211936,-3.47757,0,0
SKP,'',19,28,47,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-395.411319,-20.323047,0,0
SKP,'',19,28,47,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-399.37017,-16.364196,0,0
SKP,'',19,28,47,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-386.543108,-29.191258,0,0
SKP,'',21,28,49,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-425.433735,-9.699369,0,0
SKP,'',21,28,49,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-418.024851,-2.290485,0,0
SKP,'',19,28,47,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-389.843392,-25.890974,0,0
SKP,'',19,28,47,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-401.229783,-14.504583,0,0
SKP,56Ni,28,28,56,Ground,Ground,Ground,"0, 0, 0, 0, 0",-480.75984,0,0,0
SKP,'',28,27,55,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-456.128433,-24.631407,0,0
SKP,'',28,29,57,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-491.068406,-10.308566,0,0
SKP,'',28,29,57,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-492.589088,-11.829248,0,0
SKP,'',28,29,57,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-485.950639,-5.190799,0,0
SKP,'',28,29,57,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-488.712008,-7.952168,0,0
SKP,'',28,27,55,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-460.776795,-19.983045,0,0
SKP,'',28,27,55,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-459.108229,-21.651611,0,0
SKP,'',28,27,55,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-465.312987,-15.446853,0,0
SKP,'',27,28,55,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-465.234671,-15.525169,0,0
SKP,'',29,28,57,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-482.041144,-1.281304,0,0
SKP,'',29,28,57,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-483.426368,-2.666528,0,0
SKP,'',29,28,57,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-477.057885,3.701955,0,0
SKP,'',27,28,55,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-469.895992,-10.863848,0,0
SKP,'',29,28,57,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-479.750956,1.008884,0,0
SKP,'',27,28,55,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-474.228164,-6.531676,0,0
SKP,'',27,28,55,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-468.274367,-12.485473,0,0
SKP,78Ni,28,50,78,Ground,Ground,Ground,"0, 0, 0, 0, 0",-643.388251,0,0,0
SKP,'',28,49,77,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-633.078938,-10.309313,0,0
SKP,'',28,49,77,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-638.130488,-5.257763,0,0
SKP,'',28,49,77,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-634.557798,-8.830453,0,0
SKP,'',28,51,79,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-643.831725,-0.443474,0,0
SKP,'',28,51,79,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-639.791846,3.596405,0,0
SKP,'',28,49,77,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-629.904516,-13.483735,0,0
