EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SV-min,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-126.431765,0,0,0
SV-min,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-131.864872,-5.433107,0,0
SV-min,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-125.984458,0.447307,0,0
SV-min,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-113.259655,-13.17211,0,0
SV-min,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-119.553487,6.878278,0,0
SV-min,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-108.035532,-18.396233,0,0
SV-min,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-129.770003,-3.338238,0,0
SV-min,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-116.34099,-10.090775,0,0
SV-min,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-122.968123,3.463642,0,0
SV-min,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-126.739264,-0.307499,0,0
SV-min,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-111.15784,-15.273925,0,0
SV-min,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-116.660312,9.771453,0,0
SV-min,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-128.497299,-2.065534,0,0
SV-min,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-341.124148,0,0,0
SV-min,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-324.547464,-16.576684,0,0
SV-min,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-350.314473,-9.190325,0,0
SV-min,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-343.109093,-1.984945,0,0
SV-min,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-326.670372,-14.453776,0,0
SV-min,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-346.604911,-5.480763,0,0
