EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE0,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-125.46199,0,0,0
UNE0,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-120.324175,5.137815,0,0
UNE0,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-107.68034,-17.78165,0,0
UNE0,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-129.260874,-3.798884,0,0
UNE0,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-125.501886,-0.039896,0,0
UNE0,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-113.136868,-12.325122,0,0
UNE0,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-131.749608,-6.287618,0,0
UNE0,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-116.247375,-9.214615,0,0
UNE0,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-122.38076,3.08123,0,0
UNE0,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-126.15535,-0.69336,0,0
UNE0,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-110.735441,-14.726549,0,0
UNE0,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-117.284292,8.177698,0,0
UNE0,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-128.418006,-2.956016,0,0
UNE0,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-340.286443,0,0,0
UNE0,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-320.725579,-19.560864,0,0
UNE0,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-344.64389,-4.357447,0,0
UNE0,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-346.473866,-6.187423,0,0
UNE0,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-339.920112,0.366331,0,0
UNE0,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-326.508385,-13.778058,0,0
UNE0,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-342.778084,-2.491641,0,0
UNE0,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-349.939549,-9.653106,0,0
UNE0,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-323.982856,-16.303587,0,0
UNE0,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-327.377384,-12.909059,0,0
UNE0,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-338.153142,2.133301,0,0
UNE0,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-339.836255,0.450188,0,0
UNE0,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-333.358511,6.927932,0,0
UNE0,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-333.283288,-7.003155,0,0
UNE0,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-322.570102,-17.716341,0,0
UNE0,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-336.093465,4.192978,0,0
UNE0,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-343.122009,-2.835566,0,0
UNE0,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-319.110592,-21.175851,0,0
UNE0,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-330.759436,-9.527007,0,0
UNE0,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-414.054076,0,0,0
UNE0,'',20,27,47,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-396.833811,-17.220265,0,0
UNE0,'',20,29,49,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-418.954002,-4.899926,0,0
UNE0,'',20,29,49,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-420.466081,-6.412005,0,0
UNE0,'',20,29,49,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-413.379118,0.674958,0,0
UNE0,'',20,29,49,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-415.774718,-1.720642,0,0
UNE0,'',20,27,47,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-401.956866,-12.09721,0,0
UNE0,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-398.861897,-15.192179,0,0
UNE0,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-405.341144,-8.712932,0,0
UNE0,'',19,28,47,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-393.548974,-20.505102,0,0
UNE0,'',21,28,49,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-417.796129,-3.742053,0,0
UNE0,'',21,28,49,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-419.510296,-5.45622,0,0
UNE0,'',21,28,49,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-414.564401,-0.510325,0,0
UNE0,'',21,28,49,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-416.860631,-2.806555,0,0
UNE0,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-388.275113,-25.778963,0,0
UNE0,'',19,28,47,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-399.144482,-14.909594,0,0
UNE0,'',19,28,47,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-397.723961,-16.330115,0,0
UNE0,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-385.445348,-28.608728,0,0
UNE0,'',21,28,49,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-424.493768,-10.439692,0,0
UNE0,56Ni,28,28,56,Ground,Ground,Ground,"0, 0, 0, 0, 0",-482.592097,0,0,0
UNE0,'',28,29,57,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-492.927947,-10.33585,0,0
