EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE1,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-121.000087,0.0,0,0
UNE1,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-124.387761,-3.387674,0,0
UNE1,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-102.198269,-18.801818,0,0
UNE1,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-114.304428,6.695659,0,0
UNE1,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-107.33431,-13.665777,0,0
UNE1,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-120.799519,0.200568,0,0
UNE1,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-126.646916,-5.646829,0,0
UNE1,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-123.28152,-2.281433,0,0
UNE1,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-105.283171,-15.716916,0,0
UNE1,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-111.387922,9.612165,0,0
UNE1,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-121.38661,-0.386523,0,0
UNE1,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-117.766711,3.233376,0,0
UNE1,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-110.38463,-10.615457,0,0
UNE1,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-340.62542,0.0,0,0
UNE1,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-344.394546,-3.769126,0,0
UNE1,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-320.30898,-20.31644,0,0
UNE1,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-339.075089,1.550331,0,0
UNE1,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-346.082267,-5.456847,0,0
UNE1,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-325.897796,-14.727624,0,0
UNE1,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-342.95505,-2.32963,0,0
UNE1,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-349.957893,-9.332473,0,0
UNE1,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-324.030713,-16.594707,0,0
UNE1,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-327.114364,-13.511056,0,0
UNE1,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-338.066478,2.558942,0,0
UNE1,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-339.479943,1.145477,0,0
UNE1,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-332.426362,8.199058,0,0
UNE1,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-336.328778,4.296642,0,0
UNE1,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-320.80327,-19.82215,0,0
UNE1,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-332.605454,-8.019966,0,0
UNE1,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-330.845058,-9.780362,0,0
UNE1,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-317.70189,-22.92353,0,0
UNE1,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-342.978727,-2.353307,0,0
UNE1,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-412.917012,0.0,0,0
UNE1,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-397.192006,-15.725006,0,0
UNE1,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-404.253767,-8.663245,0,0
UNE1,'',20,29,49,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-414.324402,-1.40739,0,0
UNE1,'',20,27,47,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-399.70784,-13.209172,0,0
UNE1,'',20,29,49,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-411.402215,1.514797,0,0
UNE1,'',20,29,49,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-418.869243,-5.952231,0,0
UNE1,'',20,29,49,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-417.365724,-4.448712,0,0
UNE1,'',20,27,47,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-394.694217,-18.222795,0,0
UNE1,'',19,28,47,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-385.01474,-27.902272,0,0
UNE1,'',21,28,49,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-416.429713,-3.512701,0,0
UNE1,'',19,28,47,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-396.444424,-16.472588,0,0
UNE1,'',19,28,47,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-396.316067,-16.600945,0,0
UNE1,'',21,28,49,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-423.236291,-10.319279,0,0
UNE1,'',19,28,47,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-382.488329,-30.428683,0,0
UNE1,'',21,28,49,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-416.097359,-3.180347,0,0
UNE1,'',19,28,47,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-391.500862,-21.41615,0,0
UNE1,'',21,28,49,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-412.368406,0.548606,0,0
UNE1,'',21,28,49,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-417.558476,-4.641464,0,0
UNE1,56Ni,28,28,56,Ground,Ground,Ground,"0, 0, 0, 0, 0",-481.115067,0.0,0,0
UNE1,'',28,29,57,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-490.958126,-9.843059,0,0
UNE1,'',28,27,55,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-455.95909,-25.155977,0,0
UNE1,'',28,29,57,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-486.224529,-5.109462,0,0
UNE1,'',28,29,57,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-492.321319,-11.206252,0,0
UNE1,'',28,29,57,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-489.416531,-8.301464,0,0
UNE1,'',28,27,55,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-460.341365,-20.773702,0,0
UNE1,'',28,27,55,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-459.323046,-21.792021,0,0
UNE1,'',28,27,55,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-465.411894,-15.703173,0,0
UNE1,'',27,28,55,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-474.388727,-6.72634,0,0
UNE1,'',27,28,55,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-468.532266,-12.582801,0,0
UNE1,'',27,28,55,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-469.371259,-11.743808,0,0
UNE1,'',29,28,57,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-480.40333,0.711737,0,0
UNE1,'',29,28,57,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-483.163831,-2.048764,0,0
UNE1,'',29,28,57,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-477.200709,3.914358,0,0
UNE1,'',27,28,55,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-465.052109,-16.062958,0,0
UNE1,'',29,28,57,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-481.954219,-0.839152,0,0
UNE1,78Ni,28,50,78,Ground,Ground,Ground,"0, 0, 0, 0, 0",-636.969966,0.0,0,0
UNE1,'',28,49,77,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-628.798661,-8.171305,0,0
UNE1,'',28,51,79,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-637.493098,-0.523132,0,0
UNE1,'',28,49,77,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-627.356044,-9.613922,0,0
UNE1,'',28,49,77,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-632.156887,-4.813079,0,0
UNE1,'',28,51,79,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-634.642227,2.327739,0,0
UNE1,'',28,51,79,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-638.400299,-1.430333,0,0
UNE1,'',28,51,79,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-633.003736,3.96623,0,0
UNE1,'',28,51,79,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-638.927404,-1.957438,0,0
UNE1,'',28,49,77,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-629.248261,-7.721705,0,0
UNE1,'',28,49,77,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-623.792423,-13.177543,0,0
UNE1,'',27,50,77,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-616.011986,-20.95798,0,0
UNE1,'',27,50,77,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-610.92277,-26.047196,0,0
UNE1,'',27,50,77,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-610.457258,-26.512708,0,0
UNE1,'',29,50,79,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-652.090487,-15.120521,0,0
UNE1,'',29,50,79,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-647.871643,-10.901677,0,0
UNE1,'',29,50,79,proton,particle,2p_3_2,"3, -1, 3, 1, 2",-652.179074,-15.209108,0,3
UNE1,'',29,50,79,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-651.474166,-14.5042,0,0
UNE1,'',27,50,77,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-607.465295,-29.504671,0,0
UNE1,90Zr,40,50,90,Ground,Ground,Ground,"0, 0, 0, 0, 0",-785.051587,0.0,0,0
UNE1,'',40,49,89,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-769.166163,-15.885424,0,0
UNE1,'',40,49,89,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-773.757796,-11.293791,0,0
UNE1,'',40,51,91,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-790.112948,-5.061361,0,0
UNE1,'',40,49,89,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-770.799759,-14.251828,0,0
UNE1,'',40,49,89,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-765.524482,-19.527105,0,0
UNE1,'',40,51,91,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-792.249273,-7.197686,0,0
UNE1,'',40,51,91,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-787.32495,-2.273363,0,0
UNE1,'',40,49,89,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-770.46703,-14.584557,0,0
UNE1,'',40,51,91,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-790.481181,-5.429594,0,0
UNE1,'',40,51,91,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-789.195037,-4.14345,0,0
UNE1,'',39,50,89,proton,hole,2p_3_2,"3, -1, 3, 0, 1",-775.621161,-9.430426,0,0
UNE1,'',41,50,91,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-791.050099,-5.998512,0,0
UNE1,'',41,50,91,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-782.026088,3.025499,0,0
UNE1,'',39,50,89,proton,hole,2p_1_2,"1, -1, 3, 0, 1",-777.049026,-8.002561,0,0
UNE1,'',41,50,91,proton,particle,2d_3_2,"3, 1, 4, 0, 2",-782.986116,2.065471,0,0
UNE1,'',39,50,89,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-769.859529,-15.192058,0,0
UNE1,'',41,50,91,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-784.569126,0.482461,0,0
UNE1,'',41,50,91,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-782.663974,2.387613,0,0
UNE1,'',41,50,91,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-784.900073,0.151514,0,0
UNE1,'',39,50,89,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-774.688513,-10.363074,0,0
UNE1,100Sn,50,50,100,Ground,Ground,Ground,"0, 0, 0, 0, 0",-828.680579,0.0,0,0
UNE1,'',50,49,99,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-804.115896,-24.564683,0,0
UNE1,'',50,51,101,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-839.852558,-11.171979,0,0
UNE1,'',50,49,99,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-808.536967,-20.143612,0,0
UNE1,'',50,51,101,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-836.105217,-7.424638,0,0
UNE1,'',50,51,101,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-838.303316,-9.622737,0,0
UNE1,'',50,51,101,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-837.54198,-8.861401,0,0
UNE1,'',50,49,99,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-808.599856,-20.080723,0,0
UNE1,'',50,49,99,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-812.204633,-16.475946,0,0
UNE1,'',50,51,101,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-837.894164,-9.213585,0,0
UNE1,'',50,49,99,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-809.958152,-18.722427,0,0
UNE1,'',49,50,99,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-818.048823,-10.631756,0,0
UNE1,'',51,50,101,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-822.311323,6.369256,0,0
UNE1,'',51,50,101,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-823.990658,4.689921,0,0
UNE1,'',51,50,101,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-824.51596,4.164619,0,0
UNE1,'',49,50,99,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-822.387624,-6.292955,0,0
UNE1,'',51,50,101,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-825.906105,2.774474,0,0
UNE1,'',49,50,99,proton,hole,1g_9_2,"9, 1, 4, 0, 4",-825.992707,-2.687872,0,0
UNE1,'',49,50,99,proton,hole,2p_3_2,"3, -1, 3, 1, 2",-822.46993,-6.210649,0,3
UNE1,'',49,50,99,proton,hole,2p_1_2,"1, -1, 3, 0, 1",-823.978496,-4.702083,0,0
UNE1,'',51,50,101,proton,particle,2d_3_2,"3, 1, 4, 0, 2",-824.218969,4.46161,0,0
UNE1,132Sn,50,82,132,Ground,Ground,Ground,"0, 0, 0, 0, 0",-1101.390837,0.0,0,0
UNE1,'',50,81,131,neutron,hole,1g_7_2,"7, 1, 4, 0, 4",-1092.508839,-8.881998,0,0
UNE1,'',50,81,131,neutron,hole,3s_1_2,"1, 1, 4, 0, 0",-1093.067289,-8.323548,0,0
UNE1,'',50,81,131,neutron,hole,2d_5_2,"5, 1, 4, 0, 2",-1091.513528,-9.877309,0,0
UNE1,'',50,83,133,neutron,particle,3p_3_2,"3, -1, 5, 0, 1",-1102.858792,-1.467955,0,0
UNE1,'',50,83,133,neutron,particle,2f_5_2,"5, -1, 5, 0, 3",-1101.90257,-0.511733,0,0
UNE1,'',50,83,133,neutron,particle,1h_9_2,"9, -1, 5, 0, 5",-1101.097907,0.29293,0,0
UNE1,'',50,81,131,neutron,hole,2d_3_2,"3, 1, 4, 0, 2",-1093.466825,-7.924012,0,0
UNE1,'',50,83,133,neutron,particle,1i_13_2,"13, 1, 6, 0, 6",-1100.271925,1.118912,0,0
UNE1,'',50,81,131,neutron,hole,1h_11_2,"11, -1, 5, 0, 5",-1094.558263,-6.832574,0,0
UNE1,'',50,83,133,neutron,particle,2f_7_2,"7, -1, 5, 0, 3",-1103.975158,-2.584321,0,0
UNE1,'',50,83,133,neutron,particle,3p_1_2,"1, -1, 5, 0, 1",-1102.400619,-1.009782,0,0
UNE1,'',51,82,133,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-1110.753286,-9.362449,0,0
UNE1,'',49,82,131,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-1081.82304,-19.567797,0,0
UNE1,'',51,82,133,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-1111.344029,-9.953192,0,0
UNE1,'',51,82,133,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-1108.182188,-6.791351,0,0
UNE1,'',51,82,133,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-1108.28358,-6.892743,0,0
